index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
24288, 19-20,ARG1,27/07/2019,Racing Club,Union de Santa Fe,0,0,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24289, 19-20,ARG1,27/07/2019,CA Colon,Patronato,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24290, 19-20,ARG1,27/07/2019,San Lorenzo,CD Godoy Cruz,3,2,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24291, 19-20,ARG1,27/07/2019,CA Lanus,GyE La Plata,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24292, 19-20,ARG1,28/07/2019,Argentinos Juniors,River Plate,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24293, 19-20,ARG1,28/07/2019,Estudiantes,Aldosivi,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24294, 19-20,ARG1,28/07/2019,Newells Old Boys,Central Cordoba,2,0,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24295, 19-20,ARG1,28/07/2019,Talleres Cordoba,Velez Sarsfield,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24296, 19-20,ARG1,28/07/2019,Defensa y Justicia,Independiente,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24297, 19-20,ARG1,29/07/2019,Boca Juniors,Huracan,0,0,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24298, 19-20,ARG1,29/07/2019,Arsenal Sarandi,CA Banfield,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24299, 19-20,ARG1,30/07/2019,Atletico Tucuman,Rosario Central,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0673347211369777,0.7031437632909417
24300, 19-20,ARG1,03/08/2019,Huracan,CA Colon,2,0,2,W,2,0.0,0.0,-0.1016469836354009,-0.49172823360047063,-0.7406171990538022,0.14681176687611147,0.0,0.0,1.0673347211369777,0.7031437632909417
24301, 19-20,ARG1,03/08/2019,Aldosivi,Argentinos Juniors,0,0,0,D,2,0.0,0.0,-0.1016469836354009,-0.031021555683483713,-0.0467231615162056,0.14681176687611147,0.0,0.0,1.0673347211369777,0.7031437632909417
24302, 19-20,ARG1,03/08/2019,Rosario Central,Talleres Cordoba,1,0,1,W,2,0.0,0.0,0.1874744988894811,-0.031021555683483713,-0.0467231615162056,-0.3477433366435704,0.0,0.0,1.0673347211369777,0.7031437632909417
24303, 19-20,ARG1,03/08/2019,Central Cordoba,Atletico Tucuman,1,0,1,W,2,0.0,0.0,-0.1016469836354009,0.42968512223350325,-0.0467231615162056,0.6413668703957933,0.0,0.0,1.0673347211369777,0.7031437632909417
