index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
27682, 19-20,AUT1,26/07/2019,Rapid Wien,RB Salzburg,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.842719763114058,1.7034142202012954
27683, 19-20,AUT1,27/07/2019,Admira Wacker,Wolfsberger AC,0,3,-3,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.842719763114058,1.7034142202012954
27684, 19-20,AUT1,27/07/2019,WSG Tirol,Austria Wien,3,1,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.842719763114058,1.7034142202012954
27685, 19-20,AUT1,28/07/2019,SV Mattersburg,TSV Hartberg,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.842719763114058,1.7034142202012954
27686, 19-20,AUT1,28/07/2019,Sturm Graz,St Polten,3,0,3,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.842719763114058,1.7034142202012954
27687, 19-20,AUT1,28/07/2019,LASK Linz,SCR Altach,2,0,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.842719763114058,1.7034142202012954
27688, 19-20,AUT1,03/08/2019,Austria Wien,LASK Linz,0,3,-3,L,2,0.0,0.0,-0.19024525828456304,0.4095379660120335,0.1442676570665201,-0.3695203013915637,0.0,0.0,1.842719763114058,1.7034142202012954
27689, 19-20,AUT1,03/08/2019,SCR Altach,WSG Tirol,3,2,1,W,2,0.0,0.0,-0.4607050426064107,0.05565828073024268,1.0615326607499864,-0.1525910912151353,0.0,0.0,1.842719763114058,1.7034142202012954
27690, 19-20,AUT1,03/08/2019,TSV Hartberg,Admira Wacker,4,1,3,W,2,0.0,0.0,-0.19024525828456304,0.05565828073024268,-1.6902623503004126,0.2812673291377215,0.0,0.0,1.842719763114058,1.7034142202012954
27691, 19-20,AUT1,04/08/2019,RB Salzburg,SV Mattersburg,4,1,3,W,2,0.0,0.0,0.08021452603728466,-0.6521010898333389,0.1442676570665201,-0.1525910912151353,0.0,0.0,1.842719763114058,1.7034142202012954
27692, 19-20,AUT1,04/08/2019,Wolfsberger AC,Sturm Graz,0,1,-1,L,2,0.0,0.0,0.3506743103591324,-0.6521010898333389,1.0615326607499864,-0.3695203013915637,0.0,0.0,1.842719763114058,1.7034142202012954
27693, 19-20,AUT1,04/08/2019,St Polten,Rapid Wien,2,2,0,D,2,0.0,0.0,-0.4607050426064107,0.4095379660120335,-1.6902623503004126,0.0643381189612931,0.0,0.0,1.842719763114058,1.7034142202012954
27694, 19-20,AUT1,10/08/2019,RB Salzburg,Wolfsberger AC,5,2,3,W,3,1.9787976644334526,-0.1525910912151353,0.08021452603728466,-0.6521010898333389,-1.6902623503004126,-0.1525910912151353,0.3506743103591324,-0.6521010898333389,2.0602140303421708,1.7339329995210009
27695, 19-20,AUT1,10/08/2019,Rapid Wien,SCR Altach,2,1,1,W,3,-1.6902623503004126,0.0643381189612931,0.08021452603728466,0.05565828073024268,1.0615326607499864,0.0643381189612931,-0.4607050426064107,0.05565828073024268,1.5890354225231873,1.6431399620623839
27696, 19-20,AUT1,10/08/2019,Admira Wacker,LASK Linz,0,1,-1,L,3,-1.6902623503004126,0.2812673291377215,-0.19024525828456304,0.7634176512938243,0.1442676570665201,-0.3695203013915637,0.3506743103591324,-0.6521010898333389,1.4851692643373808,1.8016540848992213
27697, 19-20,AUT1,11/08/2019,SV Mattersburg,Austria Wien,1,5,-4,L,3,0.1442676570665201,-0.1525910912151353,-0.19024525828456304,0.7634176512938243,-1.6902623503004126,0.2812673291377215,-0.19024525828456304,0.4095379660120335,1.9324355715295678,1.651216728514207
27698, 19-20,AUT1,11/08/2019,TSV Hartberg,Sturm Graz,1,0,1,W,3,1.9787976644334526,-0.1525910912151353,-0.19024525828456304,0.05565828073024268,1.0615326607499864,-0.3695203013915637,-0.19024525828456304,-0.6521010898333389,2.0602140303421708,1.651216728514207
27699, 19-20,AUT1,11/08/2019,WSG Tirol,St Polten,1,1,0,D,3,1.0615326607499864,-0.1525910912151353,0.08021452603728466,0.4095379660120335,0.1442676570665201,0.0643381189612931,-0.4607050426064107,0.4095379660120335,2.084370557208139,1.6106177903322632
27700, 19-20,AUT1,17/08/2019,LASK Linz,WSG Tirol,1,1,0,D,4,0.1442676570665201,-0.3695203013915637,0.13385911945656082,-1.17767232168724,0.06687749759822037,-0.28505192619158914,0.08021452603728466,0.4095379660120335,1.9324355715295678,1.6593135715088232
27701, 19-20,AUT1,17/08/2019,Wolfsberger AC,SV Mattersburg,5,0,5,W,4,-1.6902623503004126,-0.1525910912151353,0.42263473392384343,0.3882294439049979,-0.711022860887144,0.5738578189203138,-0.19024525828456304,0.7634176512938243,1.696659112324099,1.651216728514207
27702, 19-20,AUT1,17/08/2019,St Polten,RB Salzburg,0,6,-6,L,4,0.1442676570665201,0.0643381189612931,-0.6258525984827579,0.02580125449837717,4.675360452720244,-0.09487338694721463,0.08021452603728466,-0.6521010898333389,1.7620131971289998,1.7256601279994155
27703, 19-20,AUT1,18/08/2019,Austria Wien,Admira Wacker,1,1,0,D,4,-1.6902623503004126,0.2812673291377215,0.7154659430620961,0.07956795941360334,-3.052556141023411,0.10736514166582595,-0.19024525828456304,0.7634176512938243,1.696659112324099,1.717405972412792
27704, 19-20,AUT1,18/08/2019,Sturm Graz,Rapid Wien,0,1,-1,L,4,1.0615326607499864,-0.3695203013915637,-0.6368329785471424,-1.0272892972221652,-1.31329892562737,-0.07517772504179795,0.08021452603728466,0.05565828073024268,2.0253110910962726,1.6593135715088232
27705, 19-20,AUT1,18/08/2019,SCR Altach,TSV Hartberg,3,3,0,D,4,1.0615326607499864,0.0643381189612931,-0.6346485380345643,0.2010902960697013,1.0063004379863787,-0.5107882319618282,-0.19024525828456304,0.05565828073024268,2.0253110910962726,1.6841513436475053
27706, 19-20,AUT1,24/08/2019,Rapid Wien,LASK Linz,1,2,-1,L,5,-1.31329892562737,-0.07517772504179795,-0.09810328031345877,-0.6610581707846266,-0.711022860887144,-0.512544673717573,0.13385911945656082,-1.17767232168724,1.463864593651286,1.7124283317618199
27707, 19-20,AUT1,24/08/2019,Wolfsberger AC,SCR Altach,5,2,3,W,5,1.3397766412013679,-0.5107882319618282,0.42263473392384343,0.3882294439049979,1.9555806863657978,0.34978412869555436,-0.6346485380345643,0.2010902960697013,2.0960777960444354,1.5323007130030937
27708, 19-20,AUT1,24/08/2019,SV Mattersburg,St Polten,0,1,-1,L,5,-0.711022860887144,0.5738578189203138,-0.6368329785471424,1.932402885003044,-1.4719653846883283,0.991567291419996,-0.6258525984827579,0.02580125449837717,1.7342037261749463,1.6954464534153677
27709, 19-20,AUT1,25/08/2019,Sturm Graz,WSG Tirol,2,0,2,W,5,-0.7962143246846012,-0.512544673717573,-0.6368329785471424,-1.0272892972221652,0.06687749759822037,-0.28505192619158914,-0.09810328031345877,0.07956795941360334,1.7292986826623096,1.6110127690038705
27710, 19-20,AUT1,25/08/2019,RB Salzburg,Admira Wacker,5,0,5,W,5,4.675360452720244,-0.09487338694721463,1.236251565936837,-1.2756417654957115,-3.052556141023411,0.10736514166582595,-0.3842747228545321,0.5168841438758804,2.721298048034154,1.6306896791088918
27711, 19-20,AUT1,25/08/2019,TSV Hartberg,Austria Wien,2,2,0,D,5,1.0063004379863787,-0.5107882319618282,0.16563888551272574,0.40058088506074585,-2.3292833735324976,0.12564101816636197,0.7154659430620961,0.07956795941360334,2.0201089500429488,1.7349534310260069
27712, 19-20,AUT1,31/08/2019,LASK Linz,Wolfsberger AC,0,1,-1,L,6,-0.711022860887144,-0.512544673717573,0.21163569082533296,-1.341824578101923,4.003442852309169,-0.4093305950335106,0.42263473392384343,0.3882294439049979,1.7912369115468834,1.6896477325072439
27713, 19-20,AUT1,31/08/2019,Admira Wacker,SV Mattersburg,1,3,-2,L,6,-3.052556141023411,0.10736514166582595,-0.825310701762186,1.3232704734885563,-2.301747248164887,0.42299516906091983,-0.6368329785471424,1.932402885003044,1.6669090428722935,1.623145440866526
27714, 19-20,AUT1,31/08/2019,WSG Tirol,RB Salzburg,1,5,-4,L,6,0.06687749759822037,-0.28505192619158914,-0.5338174463579882,0.1753636563984314,6.765534007083717,-0.44861761107916004,1.236251565936837,-1.2756417654957115,1.653359375865796,1.8522141956299574
27715, 19-20,AUT1,01/09/2019,Austria Wien,Rapid Wien,1,3,-2,L,6,-2.3292833735324976,0.12564101816636197,0.787150380942048,0.07245181050105738,-1.7387856838315463,-0.012795030181771631,-0.09810328031345877,-0.6610581707846266,1.3936058311784618,1.7076414703612508
27716, 19-20,AUT1,01/09/2019,St Polten,TSV Hartberg,1,3,-2,L,6,-1.4719653846883283,0.991567291419996,-0.8139428962808721,-0.5878982143349218,0.9878552018511626,-0.4532918890943276,0.16563888551272574,0.40058088506074585,1.6743899889162779,1.885146345282773
27717, 19-20,AUT1,01/09/2019,SCR Altach,Sturm Graz,1,2,-1,L,6,1.9555806863657978,0.34978412869555436,-0.5081546897458991,1.228729371688301,-0.5479094798397254,-0.8620204012817234,-0.6368329785471424,-1.0272892972221652,1.9940043689124707,1.6596553849297178
27718, 19-20,AUT1,14/09/2019,RB Salzburg,TSV Hartberg,7,2,5,W,7,6.765534007083717,-0.44861761107916004,2.0876010356781327,-1.5068523758030068,0.9878552018511626,-0.4532918890943276,0.46716196451797065,0.16192796802586304,3.0135580987469,1.7062603625679125
27719, 19-20,AUT1,14/09/2019,Sturm Graz,LASK Linz,0,2,-2,L,7,-0.5479094798397254,-0.8620204012817234,-0.5447834473601316,-1.3790472504616353,-2.354061793155157,-0.6621494116303341,0.21163569082533296,-1.341824578101923,1.5511455167080874,1.6050913399930131
27720, 19-20,AUT1,14/09/2019,SV Mattersburg,WSG Tirol,0,2,-2,L,7,-2.301747248164887,0.42299516906091983,-0.2644491914413503,1.6963973227998164,-0.5324261927119464,0.39779476215497755,-0.5338174463579882,0.1753636563984314,1.5164491378731004,1.6864535712215494
27721, 19-20,AUT1,15/09/2019,Rapid Wien,Admira Wacker,5,0,5,W,7,-1.7387856838315463,-0.012795030181771631,0.25142772887913756,-0.8003472784471384,-3.6642884666902025,0.406045113706465,-0.825310701762186,1.3232704734885563,1.7765662155132091,1.577274129393305
27722, 19-20,AUT1,15/09/2019,SCR Altach,St Polten,6,0,6,W,7,1.0438152652539188,0.4236148172305513,-0.5081546897458991,1.228729371688301,-2.090559720355711,1.2334116142001086,-0.8139428962808721,-0.5878982143349218,1.916457302611175,1.6440501020997536
27723, 19-20,AUT1,15/09/2019,Wolfsberger AC,Austria Wien,3,0,3,W,7,4.003442852309169,-0.4093305950335106,0.23611275693188294,-0.24565291061834016,-2.6903242277182433,0.40599133326566617,0.787150380942048,0.07245181050105738,2.529457121814233,1.761845190406358
27724, 19-20,AUT1,21/09/2019,SV Mattersburg,Sturm Graz,3,3,0,D,8,-3.6927329722018456,0.4910125482094689,-0.2644491914413503,1.6963973227998164,-1.9707209779365615,-0.776353177574576,-0.5447834473601316,-1.3790472504616353,1.1240708603006535,1.6951745984196538
27725, 19-20,AUT1,21/09/2019,Admira Wacker,St Polten,1,1,0,D,8,-3.6642884666902025,0.406045113706465,-1.2518999226143293,2.4639782066694336,-2.090559720355711,1.2334116142001086,-1.258592332309083,0.8571845902517907,1.419145200826698,1.5751449209484356
27726, 19-20,AUT1,21/09/2019,WSG Tirol,Rapid Wien,0,2,-2,L,8,-0.5324261927119464,0.39779476215497755,-0.4490157468556829,-0.3612768872579444,1.21795731836914,-0.35495186130277506,0.25142772887913756,-0.8003472784471384,1.634490998911748,1.804375471181342
27727, 19-20,AUT1,22/09/2019,Austria Wien,SCR Altach,2,0,2,W,8,-2.6903242277182433,0.40599133326566617,0.3106421107362598,0.23896737614502456,4.789506072615872,0.06697232709157525,-0.5081546897458991,1.228729371688301,1.6150083937774566,1.6877757797587183
27728, 19-20,AUT1,22/09/2019,TSV Hartberg,Wolfsberger AC,0,2,-2,L,8,0.9878552018511626,-0.4532918890943276,0.5466067235046308,1.5726487734354537,4.435055367201465,-0.7915262806415009,0.23611275693188294,-0.24565291061834016,1.9633243360529293,1.6702546875203976
27729, 19-20,AUT1,22/09/2019,LASK Linz,RB Salzburg,2,2,0,D,8,-2.354061793155157,-0.6621494116303341,0.3184426018376525,-1.8907434653808417,10.422157652320566,-0.38489690353350686,2.0876010356781327,-1.5068523758030068,1.276198499245727,1.9283691367201177
27730, 19-20,AUT1,28/09/2019,RB Salzburg,Austria Wien,4,1,3,W,9,10.422157652320566,-0.38489690353350686,2.1069743035115973,-1.2507137285095968,-2.3371849006184187,0.03986346640770183,0.3106421107362598,0.23896737614502456,3.587019582807244,1.69204084499401
27731, 19-20,AUT1,28/09/2019,Wolfsberger AC,WSG Tirol,2,2,0,D,9,4.435055367201465,-0.7915262806415009,0.3252956030262565,-0.9404335087668317,-2.0316875848493234,0.440231436682745,-0.4490157468556829,-0.3612768872579444,2.529092414750262,1.5185293014885477
27732, 19-20,AUT1,28/09/2019,St Polten,LASK Linz,0,3,-3,L,9,-2.090559720355711,1.2334116142001086,-1.4141459035826032,0.7088576184958658,-1.6901440068996902,-0.6466105850347735,0.3184426018376525,-1.8907434653808417,1.2604843397807666,1.9488641274426854
27733, 19-20,AUT1,29/09/2019,Sturm Graz,Admira Wacker,4,1,3,W,9,-1.9707209779365615,-0.776353177574576,-0.19188065067104287,-0.71519403689389,-4.0487556908704105,0.28127938026813654,-1.2518999226143293,2.4639782066694336,1.9225464447588736,1.4072151294663198
27734, 19-20,AUT1,29/09/2019,SCR Altach,SV Mattersburg,0,2,-2,L,9,4.789506072615872,0.06697232709157525,-0.9646301631230803,1.3649700801344657,-1.9720088229656028,0.7740672919924344,-0.2644491914413503,1.6963973227998164,2.9402243570788267,1.673249632732872
27735, 19-20,AUT1,29/09/2019,Rapid Wien,TSV Hartberg,3,3,0,D,9,1.21795731836914,-0.35495186130277506,0.3043362967514949,-1.3787604387379475,-0.8130335024902666,-0.38176049889874786,0.5466067235046308,1.5726487734354537,2.30829605411858,1.7329385468230165
27736, 19-20,AUT1,05/10/2019,RB Salzburg,SCR Altach,6,0,6,W,10,10.800970136218078,-0.5350207774478856,2.1069743035115973,-1.2507137285095968,2.0925411668897445,0.13785402618769121,-0.9646301631230803,1.3649700801344657,3.7875929988000747,1.481367093614846
27737, 19-20,AUT1,05/10/2019,SV Mattersburg,Rapid Wien,2,3,-1,L,10,-1.9720088229656028,0.7740672919924344,-0.1760763575831984,0.6559116526589055,1.8524331408359287,-0.08008922102009441,0.3043362967514949,-1.3787604387379475,1.3442016955428624,1.872521394190076
27738, 19-20,AUT1,05/10/2019,Admira Wacker,WSG Tirol,3,1,2,W,10,-4.0487556908704105,0.28127938026813654,-1.3620352387023833,3.1991468169857007,-2.0316875848493234,0.440231436682745,-0.3187972855789861,-0.5485119444747498,1.182110023339481,1.6976630923163565
27739, 19-20,AUT1,06/10/2019,Wolfsberger AC,St Polten,4,0,4,W,10,3.9497374114366717,-0.6870812222903182,0.3252956030262565,-0.9404335087668317,-3.2467578929276675,1.4614336888220778,-1.4141459035826032,0.7088576184958658,2.6297792039733703,1.3971574804256421
