index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
34809, 19-20,CHL1,15/02/2019,Union La Calera,CD Palestino,2,0,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8481171410906496,1.256134715881159
34810, 19-20,CHL1,15/02/2019,Coquimbo Unido,Universidad Catolica,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8481171410906496,1.256134715881159
34811, 19-20,CHL1,16/02/2019,Municipal Iquique,Curico Unido,0,0,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8481171410906496,1.256134715881159
34812, 19-20,CHL1,16/02/2019,Universidad de Chile,CD Cobresal,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8481171410906496,1.256134715881159
34813, 19-20,CHL1,17/02/2019,Universidad de Concepcion,Everton,0,0,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8481171410906496,1.256134715881159
34814, 19-20,CHL1,17/02/2019,CD Huachipato,Higgins,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8481171410906496,1.256134715881159
34815, 19-20,CHL1,17/02/2019,Union Espanola,Colo Colo,1,3,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8481171410906496,1.256134715881159
34816, 19-20,CHL1,18/02/2019,Audax Italiano,Antofagasta,0,3,-3,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8481171410906496,1.256134715881159
34817, 19-20,CHL1,22/02/2019,Antofagasta,Union Espanola,1,2,-1,L,2,0.0,0.0,0.9091243788458433,-0.7528839827509212,-0.41074778714494253,0.8580662567442288,0.0,0.0,1.8481171410906496,1.256134715881159
34818, 19-20,CHL1,22/02/2019,Colo Colo,Universidad de Concepcion,1,0,1,W,2,0.0,0.0,0.9091243788458433,-0.3455050531303596,-0.8950532766162848,-0.6180791735682998,0.0,0.0,1.8481171410906496,1.256134715881159
34819, 19-20,CHL1,23/02/2019,Everton,Union La Calera,1,2,-1,L,2,0.0,0.0,-0.6548571748758631,-0.7528839827509212,0.07355770232639976,-0.6180791735682998,0.0,0.0,1.8481171410906496,1.256134715881159
34820, 19-20,CHL1,23/02/2019,Higgins,Universidad de Chile,1,0,1,W,2,0.0,0.0,-0.13352999030196103,0.06187387649020193,-0.41074778714494253,-0.12603069679745696,0.0,0.0,1.8481171410906496,1.256134715881159
34821, 19-20,CHL1,23/02/2019,Curico Unido,Coquimbo Unido,0,0,0,D,2,0.0,0.0,-0.6548571748758631,-0.7528839827509212,-0.41074778714494253,0.3660177799733859,0.0,0.0,1.8481171410906496,1.256134715881159
34822, 19-20,CHL1,24/02/2019,CD Cobresal,Audax Italiano,1,2,-1,L,2,0.0,0.0,-0.13352999030196103,-0.3455050531303596,-0.8950532766162848,0.8580662567442288,0.0,0.0,1.8481171410906496,1.256134715881159
34823, 19-20,CHL1,24/02/2019,CD Palestino,CD Huachipato,3,1,2,W,2,0.0,0.0,-0.6548571748758631,0.06187387649020193,0.07355770232639976,-0.12603069679745696,0.0,0.0,1.8481171410906496,1.256134715881159
34824, 19-20,CHL1,24/02/2019,Universidad Catolica,Municipal Iquique,0,1,-1,L,2,0.0,0.0,0.38779719427194115,-0.3455050531303596,-0.8950532766162848,-0.6180791735682998,0.0,0.0,1.8481171410906496,1.256134715881159
