index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
28375, 19-20,DNK1,12/07/2019,Midtjylland,Esbjerg fB,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3266343995608245,1.6646476250136042
28376, 19-20,DNK1,14/07/2019,SonderjyskE,Randers FC,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3266343995608245,1.6646476250136042
28377, 19-20,DNK1,14/07/2019,Horsens,Nordsjalland,0,3,-3,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3266343995608245,1.6646476250136042
28378, 19-20,DNK1,14/07/2019,Lyngby,Aalborg,2,0,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3266343995608245,1.6646476250136042
28379, 19-20,DNK1,14/07/2019,Odense,FC Kobenhavn,2,3,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3266343995608245,1.6646476250136042
28380, 19-20,DNK1,14/07/2019,Brondby,Silkeborg,3,0,3,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3266343995608245,1.6646476250136042
28381, 19-20,DNK1,15/07/2019,Hobro,Aarhus,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3266343995608245,1.6646476250136042
28382, 19-20,DNK1,19/07/2019,FC Kobenhavn,Aarhus,2,1,1,W,2,0.0,0.0,0.5301684308489194,0.023546669200515742,0.0,0.0,-0.2638818000563435,-0.01142195584531134,1.3171912950187314,1.6387274985963713
28383, 19-20,DNK1,21/07/2019,Silkeborg,Horsens,0,3,-3,L,2,0.0,0.0,-0.6609069155089748,0.058515294246342824,-0.059119329800263846,1.2120170683254754,0.0,0.0,1.3266343995608245,1.6646476250136042
28384, 19-20,DNK1,21/07/2019,Aalborg,SonderjyskE,1,1,0,D,2,0.0,0.0,-0.6609069155089748,0.023546669200515742,0.03000745572532632,-0.6032596946155768,0.0,0.0,1.3266343995608245,1.6646476250136042
28385, 19-20,DNK1,21/07/2019,Esbjerg fB,Hobro,1,1,0,D,2,0.0,0.0,-0.6609069155089748,-0.01142195584531134,-0.014555937037468766,-0.6032596946155768,0.0,0.0,1.3266343995608245,1.6646476250136042
28386, 19-20,DNK1,21/07/2019,Randers FC,Brondby,2,2,0,D,2,0.0,0.0,-0.2638818000563435,0.023546669200515742,0.0745708484881214,-1.510898076086103,0.0,0.0,1.3266343995608245,1.6646476250136042
28387, 19-20,DNK1,21/07/2019,Midtjylland,Nordsjalland,2,1,1,W,2,-0.014555937037468766,-1.510898076086103,0.0,0.0,0.0,0.0,0.5301684308489194,-0.04639058089113842,1.2767493905332883,1.5693791158085815
28388, 19-20,DNK1,22/07/2019,Odense,Lyngby,4,1,3,W,2,0.03000745572532632,1.2120170683254754,0.0,0.0,0.03000745572532632,-1.510898076086103,0.0,0.0,1.3516482039962339,1.7862403286243416
28389, 19-20,DNK1,26/07/2019,Lyngby,SonderjyskE,0,3,-3,L,3,0.03000745572532632,-1.510898076086103,-0.31215715724559406,0.09260922094389842,0.03000745572532632,-0.6032596946155768,-0.2638818000563435,-0.01142195584531134,1.342092101035539,1.4944607292391432
28390, 19-20,DNK1,27/07/2019,Horsens,FC Kobenhavn,0,2,-2,L,3,-0.059119329800263846,1.2120170683254754,0.5301684308489194,-0.04639058089113842,0.030428272501935746,-0.5797335930267282,0.5301684308489194,0.023546669200515742,1.2973673927750045,1.840652456279674
28391, 19-20,DNK1,28/07/2019,Hobro,Randers FC,2,2,0,D,3,-0.014555937037468766,-0.6032596946155768,-0.2638818000563435,-0.01142195584531134,0.03000745572532632,0.30437868685494923,-0.2638818000563435,0.023546669200515742,1.3340978387821942,1.5802615635278994
28392, 19-20,DNK1,28/07/2019,Nordsjalland,Esbjerg fB,2,0,2,W,3,0.0,0.0,0.3041106216587002,-0.021099501514531063,-0.014555937037468766,-0.6032596946155768,-0.6609069155089748,-0.01142195584531134,1.3171912950187314,1.6001233031813797
28393, 19-20,DNK1,28/07/2019,Aarhus,Midtjylland,0,1,-1,L,3,0.0,0.0,-0.5174726589293384,0.012454925737205403,0.01767456393812723,-2.027688415201723,0.0,0.0,1.3266343995608245,1.6646476250136042
28394, 19-20,DNK1,28/07/2019,Brondby,Odense,3,2,1,W,3,0.0745708484881214,-1.510898076086103,0.13314331539628793,0.023546669200515742,0.1480269969846959,0.49839516900602343,0.0,0.0,1.3893387793200216,1.5191302622959193
28395, 19-20,DNK1,29/07/2019,Aalborg,Silkeborg,3,1,2,W,3,-0.014555937037468766,-0.6032596946155768,-0.6609069155089748,0.023546669200515742,-0.059119329800263846,1.2120170683254754,-0.6609069155089748,0.058515294246342824,1.3633789154835876,1.5424026637216826
28396, 19-20,DNK1,02/08/2019,Silkeborg,Hobro,2,3,-1,L,4,-0.059119329800263846,1.2120170683254754,-0.8762543956948907,0.11574568329289212,0.015118922514474404,-0.22228897949507015,-0.2638818000563435,-0.01142195584531134,1.269009318105275,1.759425627492895
