index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
38395, 19-20,ECU1,09/02/2019,River Ecuador,Macara,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456339648521361,0.5717808249309928
38396, 19-20,ECU1,09/02/2019,Fuerza Amarilla Machala,Delfin SC,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456339648521361,0.5717808249309928
38397, 19-20,ECU1,09/02/2019,LDU Quito,CD Olmedo,3,2,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456339648521361,0.5717808249309928
38398, 19-20,ECU1,10/02/2019,FC Barcelona,El Nacional,5,2,3,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456339648521361,0.5717808249309928
38399, 19-20,ECU1,10/02/2019,Deportivo Cuenca,Independiente del Valle,3,2,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456339648521361,0.5717808249309928
38400, 19-20,ECU1,10/02/2019,SD Aucas,CS Emelec,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456339648521361,0.5717808249309928
38401, 19-20,ECU1,10/02/2019,Tecnico Universitario,Universidad Catolica,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456339648521361,0.5717808249309928
38402, 19-20,ECU1,12/02/2019,America de Quito,Mushuc Runa,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456339648521361,0.5717808249309928
38403, 19-20,ECU1,16/02/2019,El Nacional,SD Aucas,1,3,-2,L,2,0.0,0.0,0.8587725868388235,1.785385151889515,-0.6761564256265626,0.7371944147205802,0.0,0.0,1.4456339648521361,0.5717808249309928
38404, 19-20,ECU1,16/02/2019,CD Olmedo,America de Quito,1,0,1,W,2,0.0,0.0,0.8587725868388235,0.7807699072948531,-0.6761564256265626,0.22103105016908467,0.0,0.0,1.4456339648521361,0.5717808249309928
38405, 19-20,ECU1,16/02/2019,Universidad Catolica,LDU Quito,0,0,0,D,2,0.0,0.0,0.8587725868388235,-0.22384533729980885,0.7270129285793383,0.7371944147205802,0.0,0.0,1.4456339648521361,0.5717808249309928
38406, 19-20,ECU1,17/02/2019,Macara,FC Barcelona,0,0,0,D,2,0.0,0.0,0.25748351172377315,-0.22384533729980885,1.6624591647166056,0.7371944147205802,0.0,0.0,1.4456339648521361,0.5717808249309928
38407, 19-20,ECU1,17/02/2019,Mushuc Runa,Deportivo Cuenca,1,1,0,D,2,0.0,0.0,0.25748351172377315,-0.7261529595971398,0.7270129285793383,0.7371944147205802,0.0,0.0,1.4456339648521361,0.5717808249309928
38408, 19-20,ECU1,17/02/2019,CS Emelec,Fuerza Amarilla Machala,1,2,-1,L,2,0.0,0.0,0.8587725868388235,-0.7261529595971398,-0.6761564256265626,0.7371944147205802,0.0,0.0,1.4456339648521361,0.5717808249309928
38409, 19-20,ECU1,17/02/2019,Delfin SC,River Ecuador,0,1,-1,L,2,0.0,0.0,0.8587725868388235,-0.7261529595971398,-0.208433307557929,0.22103105016908467,0.0,0.0,1.4456339648521361,0.5717808249309928
38410, 19-20,ECU1,19/02/2019,Independiente del Valle,Tecnico Universitario,1,0,1,W,2,0.0,0.0,0.8587725868388235,0.7807699072948531,-0.208433307557929,0.7371944147205802,0.0,0.0,1.4456339648521361,0.5717808249309928
38411, 19-20,ECU1,23/02/2019,Deportivo Cuenca,CS Emelec,1,0,1,W,3,0.7270129285793383,0.7371944147205802,0.25748351172377315,-0.22384533729980885,-0.208433307557929,0.7371944147205802,0.8587725868388235,-0.7261529595971398,1.4457033003892559,0.6980875983053065
38412, 19-20,ECU1,23/02/2019,Fuerza Amarilla Machala,CD Olmedo,1,4,-3,L,3,-0.6761564256265626,0.7371944147205802,0.8587725868388235,-0.22384533729980885,-0.208433307557929,-0.2951323143824109,0.8587725868388235,0.7807699072948531,1.4540829476041812,0.6980875983053065
38413, 19-20,ECU1,23/02/2019,America de Quito,LDU Quito,0,1,-1,L,3,-0.6761564256265626,0.22103105016908467,-0.3438055633912772,-0.22384533729980885,0.7270129285793383,0.7371944147205802,-0.3438055633912772,-0.7261529595971398,1.3352457906988775,0.5629385422224803
38414, 19-20,ECU1,24/02/2019,Tecnico Universitario,Macara,0,2,-2,L,3,-0.208433307557929,0.7371944147205802,-0.3438055633912772,-0.22384533729980885,-0.6761564256265626,-0.2951323143824109,0.25748351172377315,-0.22384533729980885,1.4110324958962615,0.6479611340675187
38415, 19-20,ECU1,24/02/2019,SD Aucas,Universidad Catolica,3,1,2,W,3,-0.6761564256265626,0.7371944147205802,1.460061661953874,-0.22384533729980885,-0.6761564256265626,-0.2951323143824109,0.8587725868388235,-0.22384533729980885,1.37416561315344,0.6980875983053065
38416, 19-20,ECU1,24/02/2019,FC Barcelona,Mushuc Runa,2,0,2,W,3,1.6624591647166056,0.7371944147205802,-0.3438055633912772,-0.7261529595971398,-0.208433307557929,0.22103105016908467,0.25748351172377315,-0.7261529595971398,1.5222758997363508,0.6479611340675187
38417, 19-20,ECU1,24/02/2019,El Nacional,Delfin SC,0,1,-1,L,3,-0.208433307557929,1.2533577792720758,0.8587725868388235,1.785385151889515,-0.6761564256265626,0.22103105016908467,0.8587725868388235,-0.7261529595971398,1.371463462841287,0.7436727306829409
38418, 19-20,ECU1,26/02/2019,River Ecuador,Independiente del Valle,0,1,-1,L,3,-0.208433307557929,0.22103105016908467,0.25748351172377315,-0.7261529595971398,-0.208433307557929,-0.2951323143824109,0.8587725868388235,0.7807699072948531,1.4922115068864032,0.6548667966354074
38419, 19-20,ECU1,02/03/2019,Deportivo Cuenca,America de Quito,2,0,2,W,4,0.5185471911877947,0.3768671712276403,0.25748351172377315,-0.22384533729980885,-1.3006817502402597,0.44662616273131067,-0.3438055633912772,-0.22384533729980885,1.4695094900919825,0.5741825233861239
