index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
29079, 19-20,GER2,26/07/2019,VfB Stuttgart,Hannover 96,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5122982170381283,1.6440651448180679
29080, 19-20,GER2,27/07/2019,Dynamo Dresden,Nurnberg,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5122982170381283,1.6440651448180679
29081, 19-20,GER2,27/07/2019,Holstein Kiel,Sandhausen,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5122982170381283,1.6440651448180679
29082, 19-20,GER2,27/07/2019,Osnabruck,Heidenheim,1,3,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5122982170381283,1.6440651448180679
29083, 19-20,GER2,28/07/2019,Hamburger SV,Darmstadt 98,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5122982170381283,1.6440651448180679
29084, 19-20,GER2,28/07/2019,Jahn Regensburg,Bochum,3,1,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5122982170381283,1.6440651448180679
29085, 19-20,GER2,28/07/2019,Greuther Furth,Erzgebirge Aue,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5122982170381283,1.6440651448180679
29086, 19-20,GER2,28/07/2019,Wehen Wiesbaden,Karlsruher SC,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5122982170381283,1.6440651448180679
29087, 19-20,GER2,29/07/2019,Arminia Bielefeld,St Pauli,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5122982170381283,1.6440651448180679
29088, 19-20,GER2,02/08/2019,Bochum,Arminia Bielefeld,3,3,0,D,2,0.0,0.0,-0.2941462508054002,1.3756118462256086,-0.7503638049319534,-0.4375424725978398,0.0,0.0,1.5122982170381283,1.6440651448180679
29089, 19-20,GER2,02/08/2019,Sandhausen,Osnabruck,0,1,-1,L,2,0.0,0.0,-0.2941462508054002,-0.47369943642526946,-0.7503638049319534,0.9211476416496389,0.0,0.0,1.5122982170381283,1.6440651448180679
29090, 19-20,GER2,02/08/2019,St Pauli,Greuther Furth,1,3,-2,L,2,0.0,0.0,-0.2941462508054002,-0.47369943642526946,-2.2150649886881855,0.2418025845258996,0.0,0.0,1.5122982170381283,1.6440651448180679
29091, 19-20,GER2,03/08/2019,Karlsruher SC,Dynamo Dresden,4,2,2,W,2,0.0,0.0,0.16255638738578632,-0.47369943642526946,-2.2150649886881855,-0.4375424725978398,0.0,0.0,1.5122982170381283,1.6440651448180679
29092, 19-20,GER2,03/08/2019,Hannover 96,Jahn Regensburg,1,1,0,D,2,0.0,0.0,-0.2941462508054002,0.4509562049001695,2.17903856258051,-0.4375424725978398,0.0,0.0,1.5122982170381283,1.6440651448180679
29093, 19-20,GER2,04/08/2019,Heidenheim,VfB Stuttgart,2,2,0,D,2,0.0,0.0,0.6192590255769728,-0.47369943642526946,0.7143373788242784,-0.4375424725978398,0.0,0.0,1.5122982170381283,1.6440651448180679
29094, 19-20,GER2,04/08/2019,Darmstadt 98,Holstein Kiel,2,0,2,W,2,0.0,0.0,-0.2941462508054002,-0.47369943642526946,-0.7503638049319534,-0.4375424725978398,0.0,0.0,1.5122982170381283,1.6440651448180679
29095, 19-20,GER2,04/08/2019,Erzgebirge Aue,Wehen Wiesbaden,3,2,1,W,2,0.0,0.0,0.16255638738578632,-1.3983550777507083,-0.7503638049319534,0.2418025845258996,0.0,0.0,1.5122982170381283,1.6440651448180679
29096, 19-20,GER2,05/08/2019,Nurnberg,Hamburger SV,0,4,-4,L,2,0.0,0.0,-0.2941462508054002,-1.3983550777507083,-0.7503638049319534,-0.4375424725978398,0.0,0.0,1.5122982170381283,1.6440651448180679
29097, 19-20,GER2,16/08/2019,Hamburger SV,Bochum,1,0,1,W,3,-0.7503638049319534,-0.4375424725978398,1.0759616637681593,-1.3983550777507083,2.17903856258051,0.9211476416496389,-0.2941462508054002,1.3756118462256086,1.5206416632534847,1.5634371151390818
29098, 19-20,GER2,16/08/2019,Sandhausen,Nurnberg,3,2,1,W,3,-2.2150649886881855,-0.4375424725978398,-0.2941462508054002,-0.47369943642526946,-2.2150649886881855,1.6004926987733783,-0.2941462508054002,-1.3983550777507083,1.4645932794390741,1.5634371151390818
29099, 19-20,GER2,17/08/2019,VfB Stuttgart,St Pauli,2,1,1,W,3,0.7143373788242784,-0.4375424725978398,0.16255638738578632,0.4509562049001695,-0.7503638049319534,0.9211476416496389,-0.2941462508054002,-0.47369943642526946,1.515506273221427,1.5634371151390818
29100, 19-20,GER2,17/08/2019,Arminia Bielefeld,Erzgebirge Aue,3,1,2,W,3,-0.7503638049319534,-0.4375424725978398,0.6192590255769728,1.3756118462256086,2.17903856258051,0.2418025845258996,0.16255638738578632,-1.3983550777507083,1.4838242206806798,1.6135128507971963
29101, 19-20,GER2,17/08/2019,Wehen Wiesbaden,Hannover 96,0,3,-3,L,3,-0.7503638049319534,0.2418025845258996,0.16255638738578632,1.3756118462256086,-0.7503638049319534,-0.4375424725978398,-0.2941462508054002,0.4509562049001695,1.5083120511197492,1.6382267423355934
29102, 19-20,GER2,18/08/2019,Holstein Kiel,Karlsruher SC,2,1,1,W,3,-0.7503638049319534,-0.4375424725978398,-0.7508488889965867,0.4509562049001695,3.643739746336742,0.2418025845258996,0.16255638738578632,-0.47369943642526946,1.4960394246139943,1.6135128507971963
29103, 19-20,GER2,18/08/2019,Dynamo Dresden,Heidenheim,2,1,1,W,3,-2.2150649886881855,-0.4375424725978398,0.16255638738578632,2.3002674875510474,0.7143373788242784,0.2418025845258996,0.6192590255769728,-0.47369943642526946,1.4767166578867696,1.6644156707224302
29104, 19-20,GER2,18/08/2019,Greuther Furth,Jahn Regensburg,1,0,1,W,3,-2.2150649886881855,0.2418025845258996,0.6192590255769728,-0.47369943642526946,2.17903856258051,-0.4375424725978398,-0.2941462508054002,-0.47369943642526946,1.4767166578867696,1.6382267423355934
29105, 19-20,GER2,19/08/2019,Osnabruck,Darmstadt 98,4,0,4,W,3,-0.7503638049319534,0.9211476416496389,-0.2941462508054002,-1.3983550777507083,0.7143373788242784,-1.1168875297215792,-0.2941462508054002,-0.47369943642526946,1.4960394246139943,1.7148088281529204
29106, 19-20,GER2,23/08/2019,Darmstadt 98,Dynamo Dresden,0,0,0,D,4,0.7143373788242784,-1.1168875297215792,-1.077303966616376,1.8416018352618928,-1.4486112580550197,-0.8889099743786768,0.16255638738578632,2.3002674875510474,1.552762676432835,1.5393348594506004
29107, 19-20,GER2,23/08/2019,Erzgebirge Aue,VfB Stuttgart,0,0,0,D,4,2.17903856258051,0.2418025845258996,-0.11763655013748903,0.003585409837894904,1.4239759139593224,-0.8203106917676342,0.16255638738578632,0.4509562049001695,1.5475670586248134,1.6895202542333356
29108, 19-20,GER2,24/08/2019,Hannover 96,Greuther Furth,1,1,0,D,4,-0.7503638049319534,-0.4375424725978398,0.32777918858814065,-0.9437130420468506,-2.9133124418112515,-0.8711186553277117,0.6192590255769728,-0.47369943642526946,1.4960394246139943,1.6644156707224302
29109, 19-20,GER2,24/08/2019,Jahn Regensburg,Arminia Bielefeld,1,3,-2,L,4,2.17903856258051,-0.4375424725978398,-1.0423287259854188,-0.9144981834540804,1.4703806538195823,-0.8543293952688094,0.6192590255769728,1.3756118462256086,1.5600741870209867,1.6644156707224302
29110, 19-20,GER2,24/08/2019,Bochum,Wehen Wiesbaden,3,3,0,D,4,2.17903856258051,0.9211476416496389,-1.0081721059354367,0.8941975951892145,-2.95959025168084,1.1669165160435067,0.16255638738578632,1.3756118462256086,1.5600741870209867,1.7672396553258254
29111, 19-20,GER2,25/08/2019,Nurnberg,Osnabruck,1,0,1,W,4,-2.2150649886881855,1.6004926987733783,-0.09476682955306365,0.021367408144943756,2.917190213914864,-0.24379925966819926,-0.2941462508054002,-1.3983550777507083,1.4645932794390741,1.7930614471988884
29112, 19-20,GER2,25/08/2019,Heidenheim,Sandhausen,0,2,-2,L,4,0.7143373788242784,0.2418025845258996,0.3158186359024722,0.010157457871358633,0.03384705246467634,-0.14096563464389483,-0.2941462508054002,-0.47369943642526946,1.515506273221427,1.6382267423355934
29113, 19-20,GER2,25/08/2019,Karlsruher SC,Hamburger SV,2,4,-2,L,4,3.643739746336742,0.2418025845258996,-0.11763655013748903,-0.007709447388985102,-1.5129482654121458,-1.4996557488913738,1.0759616637681593,-1.3983550777507083,1.5423810472095731,1.7943901597661556
29114, 19-20,GER2,26/08/2019,St Pauli,Holstein Kiel,2,1,1,W,4,-0.7503638049319534,0.9211476416496389,-0.5514694677442502,-0.0257095787726761,-0.012212153597599196,-0.8543293952688094,-0.7508488889965867,0.4509562049001695,1.5083120511197492,1.6631332687326112
29115, 19-20,GER2,30/08/2019,Nurnberg,Heidenheim,2,2,0,D,5,-2.8955553150477873,0.3823852674996746,-0.09476682955306365,0.021367408144943756,-1.505426453553141,0.48757145891976716,0.3158186359024722,0.010157457871358633,1.474133673465274,1.722934387621677
29116, 19-20,GER2,30/08/2019,Sandhausen,Darmstadt 98,1,0,1,W,5,0.03384705246467634,-0.14096563464389483,-0.1289234496030458,-1.875020861423554,-1.55999595143939,-2.1626270577476108,-1.077303966616376,1.8416018352618928,1.5374019972354496,1.511031427665955
29117, 19-20,GER2,31/08/2019,Arminia Bielefeld,Greuther Furth,2,2,0,D,5,1.4703806538195823,-0.8543293952688094,1.2292239122848452,0.8577360896358943,-2.9133124418112515,-0.8711186553277117,0.3158186359024722,-0.9323650887144241,1.5194760591259495,1.5845152967369964
29118, 19-20,GER2,31/08/2019,Dynamo Dresden,St Pauli,3,3,0,D,5,-1.4486112580550197,-0.8889099743786768,-0.5404619039849623,0.8644967191478392,-0.030187884168376478,0.4706513333218311,-0.5514694677442502,-0.0257095787726761,1.4927277001202812,1.4874437040874058
29119, 19-20,GER2,31/08/2019,Wehen Wiesbaden,Jahn Regensburg,0,5,-5,L,5,-2.95959025168084,1.1669165160435067,0.7255612890559582,2.7070473722867723,1.3586972378595616,0.469780139868802,-1.0423287259854188,-0.9144981834540804,1.461186147424963,1.6580041663336769
29120, 19-20,GER2,01/09/2019,Hamburger SV,Hannover 96,3,0,3,W,5,-1.5129482654121458,-1.4996557488913738,2.083269496623397,-0.9752151314756003,-1.476913337353831,-0.8889099743786768,0.32777918858814065,-0.9437130420468506,1.4797689537659602,1.5159849927587274
29121, 19-20,GER2,01/09/2019,Holstein Kiel,Erzgebirge Aue,1,1,0,D,5,-0.012212153597599196,-0.8543293952688094,-1.0537036022991153,0.9055982406040275,-0.08768474012940386,-0.9059646490979605,-0.11763655013748903,0.003585409837894904,1.5121832813441278,1.5374346291825745
29122, 19-20,GER2,01/09/2019,Osnabruck,Karlsruher SC,3,0,3,W,5,2.917190213914864,-0.24379925966819926,-1.1130421441800393,-1.8279438745059342,4.3140147681981675,1.740172727432242,-0.11763655013748903,-0.007709447388985102,1.5513416248125813,1.6039694828272089
29123, 19-20,GER2,02/09/2019,VfB Stuttgart,Bochum,2,1,1,W,5,1.4239759139593224,-0.8203106917676342,-0.6090519700000223,-0.9800104061866804,4.288099605372025,1.7586172884221967,-1.0081721059354367,0.8941975951892145,1.543361779884514,1.446742424392775
29124, 19-20,GER2,13/09/2019,Greuther Furth,Wehen Wiesbaden,2,1,1,W,6,-2.9133124418112515,-0.8711186553277117,0.5055715960107683,-0.48804591599330166,-5.0997913315023915,3.437284866572854,0.7255612890559582,2.7070473722867723,1.5095514655272233,1.6278561031492897
29125, 19-20,GER2,13/09/2019,Karlsruher SC,Sandhausen,1,0,1,W,6,4.3140147681981675,1.740172727432242,-0.8501736445228283,1.3318006915814058,-0.7532862890390498,-1.1674773661873885,-0.1289234496030458,-1.875020861423554,1.5449904354596602,1.8286903863417174
29126, 19-20,GER2,14/09/2019,Hannover 96,Arminia Bielefeld,0,2,-2,L,6,-1.476913337353831,-0.8889099743786768,-0.36457515706301696,0.4619771709715287,2.1742046388410134,-0.5720719157965644,1.2292239122848452,0.8577360896358943,1.5040613935963312,1.682279658968002
29127, 19-20,GER2,14/09/2019,Heidenheim,Holstein Kiel,3,0,3,W,6,-1.505426453553141,0.48757145891976716,0.442355232027709,0.4964027232847785,-0.7624076120824943,-1.219432954131121,-1.0537036022991153,0.9055982406040275,1.5043184038164328,1.581492119043452
29128, 19-20,GER2,14/09/2019,Jahn Regensburg,VfB Stuttgart,2,3,-1,L,6,1.3586972378595616,0.469780139868802,0.48396958807394475,-2.265592197697157,2.0928144555108137,-1.1238029495863415,-0.6090519700000223,-0.9800104061866804,1.5173484018152108,1.6285543427853297
29129, 19-20,GER2,15/09/2019,Darmstadt 98,Nurnberg,3,3,0,D,6,-1.55999595143939,-2.1626270577476108,-1.7673960060212126,1.3446900468585765,-2.125318284074833,0.5706084217678503,-0.09476682955306365,0.021367408144943756,1.4918773797036509,1.4025388178582183
29130, 19-20,GER2,15/09/2019,Bochum,Dynamo Dresden,2,2,0,D,6,4.288099605372025,1.7586172884221967,-1.2122005497475437,1.3164307014638061,0.7590922638217825,0.1386376688709361,-0.5404619039849623,0.8644967191478392,1.5818178664904525,1.782813145994372
29131, 19-20,GER2,15/09/2019,Erzgebirge Aue,Osnabruck,1,0,1,W,6,-0.08768474012940386,-0.9059646490979605,-0.3630843631404728,-0.4700077506495274,5.039041850910255,-1.3334479996041841,-1.1130421441800393,-1.8279438745059342,1.4868980331972217,1.4270051933239611
29132, 19-20,GER2,16/09/2019,St Pauli,Hamburger SV,2,0,2,W,6,-0.030187884168376478,0.4706513333218311,0.13931898301172052,1.3679982563246749,0.7137359475898273,-2.529532660395783,2.083269496623397,-0.9752151314756003,1.4989364563394512,1.9406586229724159
29133, 19-20,GER2,20/09/2019,Heidenheim,Darmstadt 98,1,0,1,W,7,0.6853001508993402,-0.5868073950325504,0.442355232027709,0.4964027232847785,0.6489530357582229,-1.077399699712546,-1.7673960060212126,1.3446900468585765,1.5394809172654784,1.392676367444803
29134, 19-20,GER2,20/09/2019,Holstein Kiel,Hannover 96,1,2,-1,L,7,-0.7624076120824943,-1.219432954131121,-1.7759752253448298,2.2885886661418002,-3.6799138409964254,-0.6730682311509202,-0.36457515706301696,0.4619771709715287,1.5082984437476004,1.472304149224936
29135, 19-20,GER2,21/09/2019,VfB Stuttgart,Greuther Furth,2,0,2,W,7,2.0928144555108137,-1.1238029495863415,0.01729087978576327,-0.5337238831303761,-2.1949518927974663,-1.2976495955871543,0.5055715960107683,-0.48804591599330166,1.5337645168588474,1.575798278103068
29136, 19-20,GER2,21/09/2019,Nurnberg,Karlsruher SC,1,1,0,D,7,-2.125318284074833,0.5706084217678503,0.6347979067390996,1.4158614968124659,3.515766632244579,0.4978609524612949,-0.8501736445228283,1.3318006915814058,1.5017467867474699,1.6130066046061011
29137, 19-20,GER2,21/09/2019,Sandhausen,Bochum,1,1,0,D,7,-0.7532862890390498,-1.1674773661873885,-0.9640911734801683,-2.3789493420397365,4.900611471349166,1.9061621041631753,-1.2122005497475437,1.3164307014638061,1.5198117802519509,1.3900882434726916
29138, 19-20,GER2,21/09/2019,Wehen Wiesbaden,Arminia Bielefeld,2,5,-3,L,7,-5.0997913315023915,3.437284866572854,0.43881775034323983,3.160543376466819,2.1742046388410134,-0.5720719157965644,1.3743276302411622,-0.5330027628527547,1.4383207063876187,2.2177630136674895
29139, 19-20,GER2,22/09/2019,Hamburger SV,Erzgebirge Aue,4,0,4,W,7,0.7137359475898273,-2.529532660395783,1.1969655836834197,-0.5119038991673585,-0.8008448657219556,-1.8753935736724996,-0.3630843631404728,-0.4700077506495274,1.515547495842741,1.338609738956283
29140, 19-20,GER2,22/09/2019,Dynamo Dresden,Jahn Regensburg,2,1,1,W,7,0.7590922638217825,0.1386376688709361,-0.4412720947801479,1.2511711879989502,2.0656376050626597,1.4014649682114064,0.48396958807394475,-2.265592197697157,1.492302171322862,1.7143079740717628
29141, 19-20,GER2,22/09/2019,Osnabruck,St Pauli,1,1,0,D,7,5.039041850910255,-1.3334479996041841,-1.7647591806836165,-2.278156887652006,0.7037204813683218,-0.8477255097590422,0.13931898301172052,1.3679982563246749,1.5990008979433759,1.5136078667120896
