index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
22221, 19-20,GRE1,24/08/2019,Lamia FC,Panathinaikos,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3116336700580673,0.8703906638938356
22222, 19-20,GRE1,24/08/2019,Aris,OFI Heraklion,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3116336700580673,0.8703906638938356
22223, 19-20,GRE1,24/08/2019,Olympiakos Piraeus,Asteras Tripolis,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3116336700580673,0.8703906638938356
22224, 19-20,GRE1,25/08/2019,Atromitos,Larisa,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3116336700580673,0.8703906638938356
22225, 19-20,GRE1,25/08/2019,Panionios,Volos NFC,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3116336700580673,0.8703906638938356
22226, 19-20,GRE1,25/08/2019,PAOK,Panetolikos,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3116336700580673,0.8703906638938356
22227, 19-20,GRE1,25/08/2019,AEK,Xanthi,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3116336700580673,0.8703906638938356
22228, 19-20,GRE1,31/08/2019,Panetolikos,Xanthi,1,2,-1,L,2,0.0,0.0,0.0676735419497119,0.48770316116504214,0.0,0.0,0.5898083200669284,-0.2207904707157944,1.2846147666218566,0.9465006708781929
22229, 19-20,GRE1,31/08/2019,Panathinaikos,OFI Heraklion,1,3,-2,L,2,0.0,0.0,0.0676735419497119,-0.2207904707157944,0.0,0.0,0.0676735419497119,-0.2207904707157944,1.2846147666218566,0.8788718726365194
22230, 19-20,GRE1,31/08/2019,Volos NFC,Aris,1,0,1,W,2,0.0,0.0,0.5898083200669284,-0.2207904707157944,-0.18669589132301867,0.03178235523308929,0.0,0.0,1.3116336700580673,0.8703906638938356
22231, 19-20,GRE1,01/09/2019,PAOK,Panionios,2,1,1,W,2,0.41239178520510256,0.03178235523308929,0.0,0.0,-0.18669589132301867,0.276998912835514,0.0,0.0,1.3630701424213396,0.8743657272859744
22232, 19-20,GRE1,01/09/2019,Larisa,Olympiakos Piraeus,0,1,-1,L,2,0.0,0.0,0.0676735419497119,-0.2207904707157944,-0.18669589132301867,-0.21343420236933539,0.0,0.0,1.3116336700580673,0.8703906638938356
22233, 19-20,GRE1,01/09/2019,Lamia FC,Atromitos,2,2,0,D,2,-0.18669589132301867,0.03178235523308929,0.0,0.0,-0.18669589132301867,0.03178235523308929,0.0,0.0,1.288763173643632,0.8743657272859744
22234, 19-20,GRE1,01/09/2019,Asteras Tripolis,AEK,2,3,-1,L,2,0.0,0.0,-0.45446123616750456,-0.2207904707157944,-0.18669589132301867,0.276998912835514,0.0,0.0,1.3116336700580673,0.8703906638938356
22235, 19-20,GRE1,14/09/2019,Atromitos,PAOK,2,3,-1,L,3,-0.18669589132301867,0.03178235523308929,0.5877328012246721,0.5039067622326231,0.7939686136932893,0.06258995910490688,0.0,0.0,1.288763173643632,0.8743657272859744
22236, 19-20,GRE1,14/09/2019,OFI Heraklion,Panetolikos,3,1,2,W,3,0.0,0.0,1.1751883060888295,-0.42243822040663026,-0.17050919924108154,0.25833547892371334,0.0676735419497119,0.48770316116504214,1.3725985384226507,0.8788718726365194
22237, 19-20,GRE1,14/09/2019,Olympiakos Piraeus,Volos NFC,5,0,5,W,3,-0.18669589132301867,-0.21343420236933539,0.0676735419497119,-0.929284102596631,-0.18669589132301867,-0.21343420236933539,0.5898083200669284,-0.2207904707157944,1.2620541857641765,0.9183851113342619
22238, 19-20,GRE1,15/09/2019,Xanthi,Asteras Tripolis,2,1,1,W,3,0.0,0.0,1.1398769585245794,-0.42243822040663026,0.41239178520510256,0.5222154704379387,-0.45446123616750456,-0.2207904707157944,1.2846147666218566,0.8151035626160369
22239, 19-20,GRE1,15/09/2019,AEK,Lamia FC,2,0,2,W,3,-0.18669589132301867,0.276998912835514,1.1119430981841447,0.48770316116504214,0.23939732644005263,0.30780651670733156,0.0,0.0,1.288763173643632,0.9055170355175196
22240, 19-20,GRE1,15/09/2019,Panionios,Larisa,1,0,1,W,3,-0.18669589132301867,0.276998912835514,0.06559802310745562,0.4512607480492491,-0.7857835678511399,0.03178235523308929,0.0676735419497119,-0.2207904707157944,1.2620541857641765,0.9142647431319414
22241, 19-20,GRE1,15/09/2019,Aris,Panathinaikos,4,0,4,W,3,-0.18669589132301867,0.03178235523308929,-0.45446123616750456,-0.2207904707157944,-0.17050919924108154,0.52013573762575,0.0676735419497119,-0.2207904707157944,1.2620541857641765,0.882877388675968
22242, 19-20,GRE1,21/09/2019,Volos NFC,OFI Heraklion,1,0,1,W,4,-0.18669589132301867,-0.21343420236933539,0.11028751373425844,2.427520334985915,0.9749561603948428,0.02970262242090076,1.1751883060888295,-0.42243822040663026,1.237983415608986,0.9970639699893883
22243, 19-20,GRE1,21/09/2019,Asteras Tripolis,Atromitos,2,1,1,W,4,0.41239178520510256,0.5222154704379387,-0.3579203758593652,0.2860554114742063,0.23939732644005263,0.5530230743097562,0.5877328012246721,0.5039067622326231,1.4276053110821636,1.017767069508891
22244, 19-20,GRE1,21/09/2019,Panetolikos,AEK,0,1,-1,L,4,-0.17050919924108154,0.25833547892371334,0.13091874985439675,1.6407067332061602,0.23939732644005263,0.0549511425355553,1.1119430981841447,0.48770316116504214,1.3510850643578292,1.0549068071474086
22245, 19-20,GRE1,22/09/2019,Larisa,Xanthi,3,0,3,W,4,-0.7857835678511399,0.03178235523308929,-0.40969587684587816,-0.4064541925374312,0.4285784772870397,0.0453396678882477,1.1398769585245794,-0.42243822040663026,1.168304973241043,1.0264821152904249
22246, 19-20,GRE1,22/09/2019,PAOK,Aris,2,2,0,D,4,0.7939686136932893,0.06258995910490688,1.1098675793418884,0.5039067622326231,1.453573704987416,-0.1847137988030495,-0.45446123616750456,-0.2207904707157944,1.3834628537901463,0.8225465196562568
22247, 19-20,GRE1,22/09/2019,Lamia FC,Panionios,1,1,0,D,4,0.23939732644005263,0.30780651670733156,-0.4728019364212997,0.5039067622326231,-0.3436893245969478,0.05280605978743427,0.06559802310745562,0.4512607480492491,1.3984814916764716,0.9179985355599367
22248, 19-20,GRE1,22/09/2019,Panathinaikos,Olympiakos Piraeus,1,1,0,D,4,-0.17050919924108154,0.52013573762575,-0.39330744749132207,1.7190267031050785,2.052661381515537,-0.43863743792404264,0.0676735419497119,-0.929284102596631,1.1807113493766856,0.9462343043302063
22249, 19-20,GRE1,28/09/2019,Aris,Larisa,2,3,-1,L,5,1.453573704987416,-0.1847137988030495,0.16032817553512013,0.2160221711918712,0.31156234983799835,-0.21992805551888392,-0.40969587684587816,-0.4064541925374312,1.4446563419430654,0.7986577327778834
