index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
11561, 19-20,HOL1,02/08/2019,Zwolle,Willem II,1,3,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2017421387563527,1.3674462987290397
11562, 19-20,HOL1,03/08/2019,Vitesse,Ajax Amsterdam,2,2,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2017421387563527,1.3674462987290397
11563, 19-20,HOL1,03/08/2019,FC Emmen,Groningen,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2017421387563527,1.3674462987290397
11564, 19-20,HOL1,03/08/2019,VVV Venlo,Waalwijk,3,1,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2017421387563527,1.3674462987290397
11565, 19-20,HOL1,03/08/2019,Twente Enschede,PSV Eindhoven,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2017421387563527,1.3674462987290397
11566, 19-20,HOL1,04/08/2019,Heracles,Heerenveen,0,4,-4,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2017421387563527,1.3674462987290397
11567, 19-20,HOL1,04/08/2019,Feyenoord Rotterdam,Sparta Rotterdam,2,2,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2017421387563527,1.3674462987290397
11568, 19-20,HOL1,04/08/2019,ADO Den Haag,Utrecht,2,4,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2017421387563527,1.3674462987290397
11569, 19-20,HOL1,04/08/2019,AZ Alkmaar,For Sittard,4,0,4,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2017421387563527,1.3674462987290397
11570, 19-20,HOL1,09/08/2019,Sparta Rotterdam,VVV Venlo,4,1,3,W,2,0.0,0.0,0.07868983849635129,0.3357333647232975,0.7680871716989919,-0.041806586261839765,0.0,0.0,1.2017421387563527,1.3674462987290397
11571, 19-20,HOL1,10/08/2019,Groningen,Twente Enschede,1,3,-2,L,2,0.0,0.0,-0.04571041137689031,-0.5054318301931449,-0.08616981585872655,-0.041806586261839765,0.0,0.0,1.2017421387563527,1.3674462987290397
11572, 19-20,HOL1,10/08/2019,Ajax Amsterdam,FC Emmen,5,0,5,W,2,0.0,0.0,0.07868983849635129,0.3357333647232975,-0.5132983096375857,-0.041806586261839765,0.0,0.0,1.2017421387563527,1.3674462987290397
11573, 19-20,HOL1,10/08/2019,Willem II,Vitesse,0,2,-2,L,2,0.0,0.0,0.20309008836959289,-0.0848492327349237,0.3409586779201326,0.07196945776539525,0.0,0.0,1.2017421387563527,1.3674462987290397
11574, 19-20,HOL1,11/08/2019,For Sittard,Heracles,1,1,0,D,2,0.0,0.0,-0.1701106612501319,1.1768985596397399,-0.5132983096375857,0.29952154581986523,0.0,0.0,1.2017421387563527,1.3674462987290397
11575, 19-20,HOL1,11/08/2019,Heerenveen,Feyenoord Rotterdam,1,1,0,D,2,0.0,0.0,0.32749033824283447,-0.5054318301931449,0.3409586779201326,0.07196945776539525,0.0,0.0,1.2017421387563527,1.3674462987290397
11576, 19-20,HOL1,11/08/2019,Waalwijk,AZ Alkmaar,0,2,-2,L,2,0.0,0.0,-0.04571041137689031,0.7563159621815186,1.1952156654778512,-0.1555826302890748,0.0,0.0,1.2017421387563527,1.3674462987290397
11577, 19-20,HOL1,11/08/2019,Utrecht,Zwolle,3,1,2,W,2,0.0,0.0,0.32749033824283447,0.3357333647232975,-0.08616981585872655,0.18574550179263025,0.0,0.0,1.2017421387563527,1.3674462987290397
11578, 19-20,HOL1,11/08/2019,PSV Eindhoven,ADO Den Haag,3,1,2,W,2,0.0,0.0,-0.04571041137689031,-0.0848492327349237,0.3409586779201326,0.29952154581986523,0.0,0.0,1.2017421387563527,1.3674462987290397
11579, 19-20,HOL1,16/08/2019,Vitesse,Zwolle,3,0,3,W,3,0.3409586779201326,0.07196945776539525,0.07868983849635129,-0.5054318301931449,-0.08616981585872655,0.18574550179263025,-0.04571041137689031,0.7563159621815186,1.3527652267886772,1.3800771734120838
11580, 19-20,HOL1,17/08/2019,ADO Den Haag,Sparta Rotterdam,1,2,-1,L,3,0.3409586779201326,0.29952154581986523,-0.04571041137689031,0.7563159621815186,1.1952156654778512,-0.041806586261839765,0.07868983849635129,0.3357333647232975,1.2934923662902946,1.556129963108402
11581, 19-20,HOL1,17/08/2019,VVV Venlo,Ajax Amsterdam,1,4,-3,L,3,0.7680871716989919,-0.041806586261839765,-0.04571041137689031,1.1768985596397399,1.6223441592567103,-0.1555826302890748,0.07868983849635129,0.3357333647232975,1.3537011273353223,1.3852079902274728
11582, 19-20,HOL1,17/08/2019,FC Emmen,Heerenveen,2,0,2,W,3,-0.5132983096375857,-0.041806586261839765,-0.1701106612501319,1.5974811570979612,-0.08616981585872655,-0.041806586261839765,0.32749033824283447,-0.5054318301931449,1.0722192801683244,1.5086582884779673
11583, 19-20,HOL1,18/08/2019,For Sittard,Willem II,2,3,-1,L,3,-0.08616981585872655,-0.041806586261839765,-0.1701106612501319,1.1768985596397399,-0.5132983096375857,0.07196945776539525,0.20309008836959289,-0.0848492327349237,1.1792716032054265,1.446152015473011
11584, 19-20,HOL1,18/08/2019,Twente Enschede,Waalwijk,3,3,0,D,3,-0.08616981585872655,-0.041806586261839765,0.20309008836959289,-0.0848492327349237,-0.5132983096375857,0.07196945776539525,-0.04571041137689031,0.7563159621815186,1.2925833357835816,1.3258740899111645
11585, 19-20,HOL1,18/08/2019,Feyenoord Rotterdam,Utrecht,1,1,0,D,3,0.3409586779201326,0.07196945776539525,-0.04571041137689031,-0.0848492327349237,0.7680871716989919,-0.041806586261839765,0.32749033824283447,0.3357333647232975,1.2934923662902946,1.5671465277046253
11586, 19-20,HOL1,18/08/2019,AZ Alkmaar,Groningen,0,0,0,D,3,1.1952156654778512,-0.1555826302890748,0.07868983849635129,-0.5054318301931449,-0.08616981585872655,0.18574550179263025,-0.04571041137689031,-0.5054318301931449,1.2953116754494078,1.2730511829460287
11587, 19-20,HOL1,18/08/2019,Heracles,PSV Eindhoven,0,2,-2,L,3,-0.5132983096375857,0.29952154581986523,-0.04571041137689031,-0.0848492327349237,0.7680871716989919,-0.041806586261839765,-0.04571041137689031,-0.0848492327349237,1.1244285544608494,1.4924976500702467
11588, 19-20,HOL1,24/08/2019,Willem II,FC Emmen,2,1,1,W,4,-0.5132983096375857,0.07196945776539525,0.3963891659097831,0.26033484819665964,-0.11701672821881631,-0.213455758113762,-0.1701106612501319,1.5974811570979612,1.3508946473341636,1.3208827387736397
11589, 19-20,HOL1,24/08/2019,Heracles,Vitesse,1,1,0,D,4,-0.9935737844663883,0.3572631555293981,-0.04571041137689031,-0.0848492327349237,1.0445395855020456,-0.08505026347772006,0.07868983849635129,-0.5054318301931449,1.014783044951002,1.5861653890860283
11590, 19-20,HOL1,24/08/2019,Heerenveen,Twente Enschede,0,0,0,D,4,-0.08616981585872655,-0.041806586261839765,0.13981287018283833,-0.11522340517468055,0.6431164921809565,0.14866883699156247,0.20309008836959289,-0.0848492327349237,1.1792716032054265,1.446152015473011
11591, 19-20,HOL1,25/08/2019,Waalwijk,ADO Den Haag,0,3,-3,L,4,-0.5132983096375857,0.07196945776539525,0.16255127015742882,1.4744256977611112,0.21559972557096585,0.3500233226796141,-0.04571041137689031,0.7563159621815186,1.2341728339208582,1.3800771734120838
11592, 19-20,HOL1,25/08/2019,Utrecht,VVV Venlo,1,2,-1,L,4,0.7680871716989919,-0.041806586261839765,0.2569371684816377,0.21229558297476572,0.6170113419323712,0.25569410456410163,-0.04571041137689031,1.1768985596397399,1.4772927365593964,1.3258740899111645
11593, 19-20,HOL1,25/08/2019,Zwolle,Sparta Rotterdam,2,2,0,D,4,-0.08616981585872655,0.18574550179263025,-0.2173923565937105,1.4491142417222407,1.1952156654778512,-0.041806586261839765,0.13390738199691105,0.21229558297476572,1.2185005395669912,1.5259907975984883
11594, 19-20,HOL1,30/08/2019,FC Emmen,Zwolle,1,3,-2,L,5,-0.11701672821881631,-0.213455758113762,-0.2100285541335828,1.8704835723461934,0.24763087156501565,0.2396763936743792,-0.2173923565937105,1.4491142417222407,1.3865925216053143,1.1707714580773583
11595, 19-20,HOL1,31/08/2019,Heerenveen,For Sittard,1,1,0,D,5,-0.5898703194920408,-0.2063440416443717,0.13981287018283833,-0.11522340517468055,0.26438666806567757,0.13498409043733334,-0.1701106612501319,1.1768985596397399,1.2810769651429095,1.194481712233285
11596, 19-20,HOL1,31/08/2019,Groningen,Heracles,1,2,-1,L,5,-0.08616981585872655,0.18574550179263025,-0.20407829663680208,-1.0502173791716172,-0.999888044189775,0.2905715764135048,-0.04571041137689031,-0.0848492327349237,1.1792716032054265,1.4356303008866391
11597, 19-20,HOL1,31/08/2019,ADO Den Haag,VVV Venlo,1,0,1,W,5,0.21559972557096585,0.3500233226796141,0.1558083930260143,0.23724434597871025,0.6170113419323712,0.25569410456410163,0.038151020284187216,0.9761575407496464,1.3663132916883047,1.5612901293607082
11598, 19-20,HOL1,01/09/2019,Twente Enschede,Utrecht,3,1,2,W,5,0.6431164921809565,0.14866883699156247,0.023188416290058383,-0.5808303467197827,0.564221844040787,0.03489279296432746,0.2569371684816377,0.21229558297476572,1.3184716037016608,1.5703410172608623
11599, 19-20,HOL1,01/09/2019,Sparta Rotterdam,Ajax Amsterdam,1,4,-3,L,5,1.1952156654778512,-0.041806586261839765,0.19287424521787505,0.5409806559558789,1.6223441592567103,-0.1555826302890748,0.4039706178786093,0.1869728258647066,1.393875443694846,1.5478381747825025
11600, 19-20,HOL1,01/09/2019,Willem II,Feyenoord Rotterdam,0,1,-1,L,5,-0.23604691804963185,0.03546068915110587,0.3963891659097831,0.26033484819665964,0.21559972557096585,0.00744176945938034,-0.04571041137689031,-0.0848492327349237,1.1598191331604033,1.3625356815669107
11601, 19-20,HOL1,01/09/2019,Vitesse,AZ Alkmaar,2,1,1,W,5,1.0445395855020456,-0.08505026347772006,0.0057707176270034855,-0.511649321636979,0.6419511405689751,-0.3004253577288658,0.07868983849635129,-0.5054318301931449,1.274473718798134,1.3643977354916628
11602, 19-20,HOL1,01/09/2019,Waalwijk,PSV Eindhoven,1,3,-2,L,5,-1.040448693252988,0.256277868603985,0.16255127015742882,1.4744256977611112,0.7680871716989919,-0.041806586261839765,0.017423007765628294,-0.5577643148262607,1.003208825214286,1.5025708542331715
11603, 19-20,HOL1,14/09/2019,AZ Alkmaar,Sparta Rotterdam,5,1,4,W,6,0.6419511405689751,-0.3004253577288658,0.033358669147945046,-0.2002881023210603,1.0269802404759918,0.2371906855260112,0.19287424521787505,0.5409806559558789,1.3650442098340319,1.3164719465062804
11604, 19-20,HOL1,14/09/2019,Ajax Amsterdam,Heerenveen,4,1,3,W,6,1.6223441592567103,-0.1555826302890748,0.7090201616652901,0.02131566868051893,-0.7099263002494647,-0.22847140149791798,0.13981287018283833,-0.11522340517468055,1.4121417029906196,1.3598956186974136
11605, 19-20,HOL1,14/09/2019,VVV Venlo,Groningen,2,1,1,W,6,0.6170113419323712,0.25569410456410163,-0.1560738619329106,0.8220925450479082,-0.16274182571318166,0.24995725352658937,-0.20407829663680208,-1.0502173791716172,1.145389987226385,1.3923423152968681
11606, 19-20,HOL1,14/09/2019,PSV Eindhoven,Vitesse,5,0,5,W,6,0.7680871716989919,-0.041806586261839765,0.20370356766649647,-0.5591138908696744,1.3544325331887757,-0.12650999627444423,0.0057707176270034855,-0.511649321636979,1.2359807942471999,1.350230492234537
11607, 19-20,HOL1,14/09/2019,Utrecht,FC Emmen,3,1,2,W,6,0.564221844040787,0.03489279296432746,0.18598660342142764,0.9195171635896783,-0.2821414096782653,-0.005333370992096603,-0.2100285541335828,1.8704835723461934,1.5521844594709233,1.2850716981831916
11608, 19-20,HOL1,15/09/2019,Zwolle,Waalwijk,6,2,4,W,6,0.24763087156501565,0.2396763936743792,0.010164131096731505,1.286520154827554,-1.0418192739335654,0.4266494330204166,0.16255127015742882,1.4744256977611112,1.4439045202752236,1.5685846887021342
11609, 19-20,HOL1,15/09/2019,Feyenoord Rotterdam,ADO Den Haag,3,2,1,W,5,0.21559972557096585,0.00744176945938034,-0.09080994075177995,-0.5726489763412687,0.059136881040964345,0.17238590818218272,0.1558083930260143,0.23724434597871025,1.2626435026170293,1.4471281689692612
11610, 19-20,HOL1,15/09/2019,Heracles,Willem II,4,1,3,W,6,-0.999888044189775,0.2905715764135048,0.024497320213697958,-0.16024774926156155,-0.731438717452337,-0.005787186516294625,0.3963891659097831,0.26033484819665964,1.106676089464879,1.7202105570912987
11611, 19-20,HOL1,15/09/2019,For Sittard,Twente Enschede,2,3,-1,L,6,0.26438666806567757,0.13498409043733334,-0.1943042348477284,1.058682479554261,1.3613451833382468,0.0837776923011526,0.023188416290058383,-0.5808303467197827,1.1603937762525598,1.4446086681231562
11612, 19-20,HOL1,20/09/2019,Twente Enschede,Heracles,2,3,-1,L,7,1.3613451833382468,0.0837776923011526,0.21667948662621178,-0.22770658029399587,0.23593303973144997,0.20862886836100575,0.024497320213697958,-0.16024774926156155,1.3676571874903176,1.4199890230881749
11613, 19-20,HOL1,21/09/2019,Sparta Rotterdam,Waalwijk,4,0,4,W,7,1.0269802404759918,0.2371906855260112,0.1535050559946226,2.0697798038296824,-1.0418192739335654,0.4266494330204166,0.21621944268202564,3.390640168891418,1.87499306772435,1.5953069399950366
11614, 19-20,HOL1,21/09/2019,Groningen,Zwolle,2,0,2,W,7,-0.16274182571318166,0.24995725352658937,-0.2528857786955786,-0.6907832801854866,2.193669071332528,0.2887611211266285,0.010164131096731505,1.286520154827554,1.3565571073842733,1.4956892879992008
11615, 19-20,HOL1,21/09/2019,Willem II,VVV Venlo,1,0,1,W,7,-0.731438717452337,-0.005787186516294625,0.30679479264627907,1.4772165337774987,0.9820396294566969,0.21105494802513786,-0.1560738619329106,0.8220925450479082,1.2137714000856747,1.2912003837956316
11616, 19-20,HOL1,21/09/2019,Vitesse,For Sittard,4,2,2,W,7,1.3544325331887757,-0.12650999627444423,-0.1621982929934429,1.0714316528011643,0.6230064097822776,0.3119503630925328,-0.1943042348477284,1.058682479554261,1.548838887978147,1.2190742722691283
11617, 19-20,HOL1,22/09/2019,Heerenveen,Utrecht,1,1,0,D,7,-0.7099263002494647,-0.22847140149791798,0.0950417652885952,0.9731847592353335,1.1826251151365965,0.002458462880918,0.18598660342142764,0.9195171635896783,1.2296773331791,1.3471640212268685
11618, 19-20,HOL1,22/09/2019,FC Emmen,Feyenoord Rotterdam,3,3,0,D,6,-0.2821414096782653,-0.005333370992096603,-0.24549154461936112,2.4794095930222912,0.9576741894550687,0.07034533924815171,-0.09080994075177995,-0.5726489763412687,1.092357901432916,1.3218204468899892
11619, 19-20,HOL1,22/09/2019,ADO Den Haag,AZ Alkmaar,0,1,-1,L,6,0.059136881040964345,0.17238590818218272,0.2245857869541148,0.9679462543589573,2.194544332175308,-0.3364322838479491,0.033358669147945046,-0.2002881023210603,1.1831749716493916,1.4683153134216742
11620, 19-20,HOL1,22/09/2019,PSV Eindhoven,Ajax Amsterdam,1,1,0,D,6,2.3758070256068833,-0.19543047019323162,0.20370356766649647,-0.5591138908696744,2.7276921757714505,-0.1965301300472007,0.7090201616652901,0.02131566868051893,1.5463633401516665,1.6270331883996882
11621, 19-20,HOL1,25/09/2019,PSV Eindhoven,Groningen,3,1,2,W,7,2.1424396750719152,-0.2667718258431321,0.20370356766649647,-0.5591138908696744,0.11209096784248593,0.07978364324412851,-0.2528857786955786,-0.6907832801854866,1.404014396066189,1.1327661929725357
11622, 19-20,HOL1,25/09/2019,Ajax Amsterdam,For Sittard,5,0,5,W,7,2.7276921757714505,-0.1965301300472007,0.6310170763495535,-0.20847524407641863,0.6230064097822776,0.3119503630925328,-0.09715687918556494,2.089598186836994,1.9433156719385436,1.2311879512769985
11623, 19-20,HOL1,26/09/2019,Feyenoord Rotterdam,AZ Alkmaar,0,3,-3,L,7,0.9576741894550687,0.07034533924815171,0.11795601498727029,0.22967209249472753,2.194544332175308,-0.3364322838479491,-0.024899872861176682,-0.6979109051449186,1.2364290694980569,1.389351546935938
