index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
31476, 22-23,ISR1,20/08/2022,Hapoel Haifa,Hapoel Tel Aviv,2,0,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1031723333067176,1.3162028003569235
31477, 22-23,ISR1,20/08/2022,Hapoel Jerusalem,Hapoel Hadera,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1031723333067176,1.3162028003569235
31478, 22-23,ISR1,20/08/2022,Maccabi Netanya,Beitar Jerusalem,4,1,3,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1031723333067176,1.3162028003569235
31479, 22-23,ISR1,21/08/2022,Maccabi Tel Aviv,Maccabi Bnei Raina FC,5,0,5,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1031723333067176,1.3162028003569235
31480, 22-23,ISR1,22/08/2022,FS Ness Ziona,Ironi Kiryat Shmona,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1031723333067176,1.3162028003569235
31481, 22-23,ISR1,27/08/2022,Ironi Kiryat Shmona,Hapoel Jerusalem,1,1,0,D,2,0.0,0.0,0.047207918976269116,-0.14179648625760638,-0.08962099371359807,-0.14198963978294396,0.0,0.0,1.1031723333067176,1.3162028003569235
31482, 22-23,ISR1,27/08/2022,Hapoel Tel Aviv,Bnei Sachnin FC,0,2,-2,L,2,0.0,0.0,-0.09086787016387467,0.11527393143964813,0.0,0.0,0.0,0.0,1.1031723333067176,1.3162028003569235
31483, 22-23,ISR1,27/08/2022,Maccabi Haifa,Maccabi Netanya,4,1,3,W,2,0.0,0.0,0.0,0.0,2.516339078367939,-0.14198963978294396,0.0,0.0,1.1031723333067176,1.3162028003569235
31484, 22-23,ISR1,27/08/2022,FC Ashdod,FS Ness Ziona,1,0,1,W,2,0.0,0.0,0.0,0.0,-0.9582743510741105,0.3070564775274304,0.0,0.0,1.1031723333067176,1.3162028003569235
31485, 22-23,ISR1,28/08/2022,Maccabi Bnei Raina FC,Hapoel Haifa,1,1,0,D,2,0.0,0.0,-0.09086787016387467,0.50087955798553,0.7790323636469143,-0.5910357570933183,0.0,0.0,1.1031723333067176,1.3162028003569235
31486, 22-23,ISR1,28/08/2022,Beitar Jerusalem,Hapoel Beer Sheva,0,5,-5,L,1,0.0,0.0,-0.021829975593802776,0.3723443491369027,0.0,0.0,0.0,0.0,1.1031723333067176,1.3162028003569235
