index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
8666, 19-20,ITA1,24/08/2019,Parma,Juventus,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795278157100074,1.3909786224007277
8667, 19-20,ITA1,24/08/2019,Fiorentina,Napoli,3,4,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795278157100074,1.3909786224007277
8668, 19-20,ITA1,25/08/2019,Udinese,AC Milan,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795278157100074,1.3909786224007277
8669, 19-20,ITA1,25/08/2019,Cagliari,Brescia,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795278157100074,1.3909786224007277
8670, 19-20,ITA1,25/08/2019,Hellas Verona,Bologna,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795278157100074,1.3909786224007277
8671, 19-20,ITA1,25/08/2019,Roma,Genoa,3,3,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795278157100074,1.3909786224007277
8672, 19-20,ITA1,25/08/2019,Sampdoria,Lazio,0,3,-3,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795278157100074,1.3909786224007277
8673, 19-20,ITA1,25/08/2019,SPAL Ferrara,Atalanta,2,3,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795278157100074,1.3909786224007277
8674, 19-20,ITA1,25/08/2019,Torino,Sassuolo,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795278157100074,1.3909786224007277
8675, 19-20,ITA1,26/08/2019,Internazionale Milano,Lecce,4,0,4,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795278157100074,1.3909786224007277
8676, 19-20,ITA1,30/08/2019,Bologna,SPAL Ferrara,1,0,1,W,2,0.0,0.0,-0.2779886568101226,0.07008570090757872,0.7517376842261345,0.7978332035885072,0.0,0.0,0.8795278157100074,1.3909786224007277
8677, 19-20,ITA1,31/08/2019,AC Milan,Brescia,1,0,1,W,2,0.0,0.0,-0.9889959622816793,0.07008570090757872,0.0,0.0,-0.2779886568101226,-0.5116726636529333,0.8351019970248528,1.3717408033578504
8678, 19-20,ITA1,31/08/2019,Juventus,Napoli,4,3,1,W,2,0.0,0.0,-0.2779886568101226,-0.5116726636529333,0.0,0.0,1.8550332596045473,1.2336024300286026,0.9942305380651465,1.523497913625588
8679, 19-20,ITA1,01/09/2019,Lazio,Roma,1,1,0,D,2,0.0,0.0,1.1440259541329907,-0.5116726636529333,1.4226491934685408,0.7978332035885072,0.0,0.0,0.8795278157100074,1.3909786224007277
8680, 19-20,ITA1,01/09/2019,Atalanta,Torino,2,3,-1,L,2,0.0,0.0,1.1440259541329907,0.6518440654680906,0.7517376842261345,-0.19386673861972864,0.0,0.0,0.8795278157100074,1.3909786224007277
8681, 19-20,ITA1,01/09/2019,Cagliari,Internazionale Milano,1,2,-1,L,2,-0.590085334258678,-0.19386673861972864,0.0,0.0,2.093560702710947,-0.6897167097238465,0.0,0.0,0.8284547027246981,1.3775448549987066
8682, 19-20,ITA1,01/09/2019,Genoa,Fiorentina,2,1,1,W,2,0.0,0.0,1.1440259541329907,1.2336024300286026,1.4226491934685408,1.293683174692625,0.0,0.0,0.8795278157100074,1.3909786224007277
8683, 19-20,ITA1,01/09/2019,Lecce,Hellas Verona,0,1,-1,L,2,0.0,0.0,-0.9889959622816793,1.8153607945891146,0.08082617498372825,-0.19386673861972864,0.0,0.0,0.8795278157100074,1.3909786224007277
8684, 19-20,ITA1,01/09/2019,Sassuolo,Sampdoria,4,1,3,W,2,0.0,0.0,-0.2779886568101226,0.6518440654680906,-0.590085334258678,0.7978332035885072,0.0,0.0,0.8795278157100074,1.3909786224007277
8685, 19-20,ITA1,01/09/2019,Udinese,Parma,1,3,-2,L,2,0.08082617498372825,-0.6897167097238465,0.0,0.0,-0.590085334258678,-0.19386673861972864,0.0,0.0,0.8867130397645319,1.343553769085554
8686, 19-20,ITA1,14/09/2019,Fiorentina,Juventus,0,0,0,D,3,1.4226491934685408,1.293683174692625,-0.2779886568101226,0.6518440654680906,2.016605326141448,0.732123516863922,-0.2779886568101226,-0.5116726636529333,0.9631856228079126,1.4626588595295782
