index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
33024, 19-20,KOR1,01/03/2019,Jeonbuk FC,Daegu FC,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1570045387242436,0.6775782861552505
33025, 19-20,KOR1,01/03/2019,Gyeongnam FC,Seongnam FC,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1570045387242436,0.6775782861552505
33026, 19-20,KOR1,01/03/2019,Ulsan Hyundai,Suwon Bluewings,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1570045387242436,0.6775782861552505
33027, 19-20,KOR1,02/03/2019,Incheon United,Jeju United,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1570045387242436,0.6775782861552505
33028, 19-20,KOR1,02/03/2019,Sangju Sangmu,Gangwon FC,2,0,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1570045387242436,0.6775782861552505
33029, 19-20,KOR1,03/03/2019,FC Seoul,Pohang Steelers,2,0,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1570045387242436,0.6775782861552505
33030, 19-20,KOR1,09/03/2019,Daegu FC,Jeju United,2,0,2,W,2,0.0,0.0,0.17020700120921736,-0.16362270811572122,0.0,0.0,0.17020700120921736,-0.16362270811572122,1.1470137545114427,0.6896732849179954
33031, 19-20,KOR1,09/03/2019,Incheon United,Gyeongnam FC,2,1,1,W,2,-0.14338381533152628,0.14742277869113918,0.0,0.0,0.7698624926835548,0.14742277869113918,0.0,0.0,1.1482462484642575,0.688043774823331
33032, 19-20,KOR1,09/03/2019,Suwon Bluewings,Jeonbuk FC,0,4,-4,L,2,0.0,0.0,0.17020700120921736,0.878530018456735,-0.14338381533152628,0.14742277869113918,0.0,0.0,1.1570045387242436,0.6775782861552505
33033, 19-20,KOR1,10/03/2019,Gangwon FC,Ulsan Hyundai,0,0,0,D,2,0.0,0.0,-0.3576947929335133,0.878530018456735,0.7698624926835548,0.14742277869113918,0.0,0.0,1.1570045387242436,0.6775782861552505
33034, 19-20,KOR1,10/03/2019,Pohang Steelers,Sangju Sangmu,1,2,-1,L,2,0.0,0.0,-0.3576947929335133,0.878530018456735,0.7698624926835548,-0.3098131094665836,0.0,0.0,1.1570045387242436,0.6775782861552505
33035, 19-20,KOR1,10/03/2019,Seongnam FC,FC Seoul,0,1,-1,L,2,0.0,0.0,0.17020700120921736,0.878530018456735,0.7698624926835548,-0.3098131094665836,0.0,0.0,1.1570045387242436,0.6775782861552505
33036, 19-20,KOR1,16/03/2019,Sangju Sangmu,Incheon United,2,0,2,W,3,0.7698624926835548,-0.3098131094665836,0.6981087953519479,-0.16362270811572122,0.6344771535964853,0.290060360376124,0.0,0.0,1.2048248684946625,0.6560220952436095
