index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
30231, 19-20,MEX1,20/07/2019,Puebla FC,Club Tijuana,1,3,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4767069417294572,0.7163032911926123
30232, 19-20,MEX1,20/07/2019,Atlas Guadalajara,FC Juarez,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4767069417294572,0.7163032911926123
30233, 19-20,MEX1,20/07/2019,Atletico San Luis,Pumas de la UNAM,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4767069417294572,0.7163032911926123
30234, 19-20,MEX1,20/07/2019,CF Pachuca,Club Leon,1,3,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4767069417294572,0.7163032911926123
30235, 19-20,MEX1,21/07/2019,Club de Futbol America,CF Monterrey,4,2,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4767069417294572,0.7163032911926123
30236, 19-20,MEX1,21/07/2019,Tigres de la Universidad Autonoma,Monarcas Morelia,4,2,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4767069417294572,0.7163032911926123
30237, 19-20,MEX1,21/07/2019,Club Necaxa,Cruz Azul,0,0,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4767069417294572,0.7163032911926123
30238, 19-20,MEX1,21/07/2019,Deportivo Toluca,Gallos Blancos Queretaro FC,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4767069417294572,0.7163032911926123
30239, 19-20,MEX1,22/07/2019,Santos Laguna,Deportivo Guadalajara,3,0,3,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4767069417294572,0.7163032911926123
30240, 19-20,MEX1,27/07/2019,Monarcas Morelia,Atlas Guadalajara,0,1,-1,L,2,0.0,0.0,0.37977854444123166,1.3378513458848775,-0.3405341189854304,-0.7188414934279729,0.0,0.0,1.4767069417294572,0.7163032911926123
30241, 19-20,MEX1,27/07/2019,CD Veracruz,CF Pachuca,3,3,0,D,2,0.0,0.0,0.0,0.0,-0.3405341189854304,2.291788929187291,0.0,0.0,1.4767069417294572,0.7163032911926123
30242, 19-20,MEX1,28/07/2019,Club Leon,Club de Futbol America,0,0,0,D,2,0.0,0.0,0.6756261086170899,-0.25275027864680094,1.8025065366634978,1.288245454982203,0.0,0.0,1.4767069417294572,0.7163032911926123
30243, 19-20,MEX1,28/07/2019,Cruz Azul,Deportivo Toluca,1,1,0,D,2,0.0,0.0,-0.21191658391048482,-0.7829508201573604,-1.0548810042017398,1.288245454982203,0.0,0.0,1.4767069417294572,0.7163032911926123
30244, 19-20,MEX1,28/07/2019,Club Tijuana,Gallos Blancos Queretaro FC,1,1,0,D,2,0.0,0.0,0.6756261086170899,-0.25275027864680094,0.0,0.0,0.37977854444123166,-0.7829508201573604,1.4289160783312287,0.7345955869703023
30245, 19-20,MEX1,28/07/2019,Pumas de la UNAM,Club Necaxa,2,0,2,W,2,0.0,0.0,0.37977854444123166,-0.7829508201573604,-1.0548810042017398,-0.7188414934279729,0.0,0.0,1.4767069417294572,0.7163032911926123
30246, 19-20,MEX1,28/07/2019,Atletico San Luis,CF Monterrey,1,0,1,W,2,-1.0548810042017398,1.288245454982203,0.0,0.0,0.0,0.0,0.37977854444123166,1.3378513458848775,1.4942059131678949,0.7995354688504316
30247, 19-20,MEX1,29/07/2019,Santos Laguna,FC Juarez,3,0,3,W,2,1.0881596514471883,-0.7188414934279729,0.0,0.0,0.0,0.0,-0.21191658391048482,-0.25275027864680094,1.5287088941594924,0.6730747580413202
30248, 19-20,MEX1,29/07/2019,Deportivo Guadalajara,Tigres de la Universidad Autonoma,2,0,2,W,2,0.0,0.0,-0.21191658391048482,0.8076508043743181,1.8025065366634978,1.288245454982203,0.0,0.0,1.4767069417294572,0.7163032911926123
30249, 19-20,MEX1,03/08/2019,Puebla FC,Deportivo Guadalajara,1,1,0,D,2,-0.3405341189854304,2.291788929187291,0.0,0.0,0.373812766230879,-0.7188414934279729,-0.21191658391048482,0.8076508043743181,1.5056572460919053,0.8212547382559992
30250, 19-20,MEX1,03/08/2019,Atlas Guadalajara,Santos Laguna,1,2,-1,L,3,-0.3405341189854304,-0.7188414934279729,0.0839309802653734,-0.7829508201573604,2.1391718701508142,-1.3943012745125083,0.0,0.0,1.4558069236396467,0.6827192055433373
