index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
23137, 19-20,POR1,09/08/2019,Portimonense,Belenenses,0,0,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2280398683863596,1.0058850980304814
23138, 19-20,POR1,10/08/2019,Santa Clara,Famalicao,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2280398683863596,1.0058850980304814
23139, 19-20,POR1,10/08/2019,Gil Vicente,Porto,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2280398683863596,1.0058850980304814
23140, 19-20,POR1,10/08/2019,Benfica,Pacos Ferreira,5,0,5,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2280398683863596,1.0058850980304814
23141, 19-20,POR1,11/08/2019,Boavista,Aves,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2280398683863596,1.0058850980304814
23142, 19-20,POR1,11/08/2019,Maritimo,Sporting Lisbon,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2280398683863596,1.0058850980304814
23143, 19-20,POR1,11/08/2019,Sporting Braga,Moreirense,3,1,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2280398683863596,1.0058850980304814
23144, 19-20,POR1,12/08/2019,Setubal,Tondela,0,0,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2280398683863596,1.0058850980304814
23145, 19-20,POR1,16/08/2019,Famalicao,Rio Ave,1,0,1,W,1,0.0,0.0,0.8610460759042786,-1.2961848839293106,0.0,0.0,0.0,0.0,1.2280398683863596,1.0058850980304814
23146, 19-20,POR1,17/08/2019,Moreirense,Gil Vicente,3,0,3,W,2,0.0,0.0,-0.005097338904606227,1.8702877623516931,0.5090313419453654,-0.00494865963765033,0.0,0.0,1.2280398683863596,1.0058850980304814
23147, 19-20,POR1,17/08/2019,Belenenses,Benfica,0,2,-2,L,2,0.0,0.0,-0.871240753713491,-1.2961848839293106,2.4872345720059483,-0.845828388746514,0.0,0.0,1.2280398683863596,1.0058850980304814
23148, 19-20,POR1,17/08/2019,Porto,Setubal,4,0,4,W,2,0.0,0.0,-0.005097338904606227,0.8147968802580253,-0.8097708114283566,-0.845828388746514,0.0,0.0,1.2280398683863596,1.0058850980304814
23149, 19-20,POR1,18/08/2019,Pacos Ferreira,Santa Clara,0,1,-1,L,2,0.0,0.0,-0.871240753713491,3.981269526539029,-0.8097708114283566,0.8359310694712133,0.0,0.0,1.2280398683863596,1.0058850980304814
23150, 19-20,POR1,18/08/2019,Aves,Maritimo,3,1,2,W,2,0.0,0.0,-0.005097338904606227,0.8147968802580253,-0.1503697347414956,-0.00494865963765033,0.0,0.0,1.2280398683863596,1.0058850980304814
23151, 19-20,POR1,18/08/2019,Guimaraes,Boavista,1,1,0,D,1,0.0,0.0,0.0,0.0,0.5090313419453654,-0.00494865963765033,0.0,0.0,1.2280398683863596,1.0058850980304814
23152, 19-20,POR1,18/08/2019,Sporting Lisbon,Sporting Braga,2,1,1,W,2,0.0,0.0,-0.005097338904606227,-0.24069400183564263,1.1684324186322264,-0.00494865963765033,0.0,0.0,1.2280398683863596,1.0058850980304814
