index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
44731, 19-20,RUS2,07/07/2019,SKA-Energia Khabarovsk,Shinnik Yaroslavl,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899033602907576,1.4855528884731908
44732, 19-20,RUS2,07/07/2019,Luch-Energia,FK Khimki,2,5,-3,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899033602907576,1.4855528884731908
44733, 19-20,RUS2,07/07/2019,Nizhny Novgorod,FK Tom Tomsk,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899033602907576,1.4855528884731908
44734, 19-20,RUS2,07/07/2019,Tekstilshchik Ivanovo,Enisey Krasnoyarsk,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899033602907576,1.4855528884731908
44735, 19-20,RUS2,07/07/2019,Mordovia Saransk,FC Neftekhimik,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899033602907576,1.4855528884731908
44736, 19-20,RUS2,07/07/2019,Avangard Kursk,Rotor Volgograd,0,3,-3,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899033602907576,1.4855528884731908
44737, 19-20,RUS2,07/07/2019,Chayka Peschanokopskoye,Chertanovo,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899033602907576,1.4855528884731908
44738, 19-20,RUS2,07/07/2019,Fakel Voronezh,Torpedo Moscow,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899033602907576,1.4855528884731908
44739, 19-20,RUS2,07/07/2019,Baltika Kaliningrad,Spartak Moscow 2,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899033602907576,1.4855528884731908
44740, 19-20,RUS2,09/07/2019,FK Torpedo Armavir,FK Krasnodar 2,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1899033602907576,1.4855528884731908
44741, 19-20,RUS2,13/07/2019,Spartak Moscow 2,SKA-Energia Khabarovsk,2,2,0,D,2,0.0,0.0,-0.10206361242254094,-0.34472500262004335,-0.15731948917084643,0.22711718002944142,0.0,0.0,1.1899033602907576,1.4855528884731908
44742, 19-20,RUS2,13/07/2019,FK Tom Tomsk,FK Torpedo Armavir,2,0,2,W,2,0.0,0.0,0.1081372016298221,-0.34472500262004335,0.6710991808831084,-0.21436101071282643,0.0,0.0,1.1899033602907576,1.4855528884731908
44743, 19-20,RUS2,13/07/2019,Fakel Voronezh,Chayka Peschanokopskoye,0,0,0,D,2,-0.9857381592248013,-0.21436101071282643,0.0,0.0,-0.9857381592248013,-0.21436101071282643,0.0,0.0,1.1248334681249077,1.4310109847530341
44744, 19-20,RUS2,13/07/2019,Torpedo Moscow,Baltika Kaliningrad,2,0,2,W,2,0.0,0.0,-0.10206361242254094,-0.34472500262004335,-0.9857381592248013,-0.21436101071282643,0.0,0.0,1.1899033602907576,1.4855528884731908
44745, 19-20,RUS2,13/07/2019,Shinnik Yaroslavl,Mordovia Saransk,1,0,1,W,2,0.0,0.0,0.1081372016298221,-0.05501659929575285,-0.9857381592248013,-0.21436101071282643,0.0,0.0,1.1899033602907576,1.4855528884731908
44746, 19-20,RUS2,13/07/2019,FK Khimki,Avangard Kursk,3,0,3,W,2,0.0,0.0,0.7387396437869113,0.23469180402853762,-0.9857381592248013,0.6685953707717093,0.0,0.0,1.1899033602907576,1.4855528884731908
44747, 19-20,RUS2,13/07/2019,FC Neftekhimik,Nizhny Novgorod,1,1,0,D,2,0.0,0.0,-0.10206361242254094,-0.34472500262004335,-0.9857381592248013,0.22711718002944142,0.0,0.0,1.1899033602907576,1.4855528884731908
