index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
13462, 19-20,SCO2,02/08/2019,Dunfermline Athletic,FC Dundee,2,2,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.201907659683923,2.534316145478852
13463, 19-20,SCO2,03/08/2019,Alloa Athletic,Partick Thistle,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.201907659683923,2.534316145478852
13464, 19-20,SCO2,03/08/2019,Arbroath,Queen of the South,0,0,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.201907659683923,2.534316145478852
13465, 19-20,SCO2,03/08/2019,Ayr United,Greenock Morton,4,2,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.201907659683923,2.534316145478852
13466, 19-20,SCO2,03/08/2019,Dundee United,Inverness CT,4,1,3,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.201907659683923,2.534316145478852
13467, 19-20,SCO2,09/08/2019,Partick Thistle,Dundee United,1,2,-1,L,2,0.0,0.0,-1.3082680576091534,-0.1585006429498324,2.7989917227042143,-1.5743993134554355,0.0,0.0,1.201907659683923,2.534316145478852
13468, 19-20,SCO2,10/08/2019,FC Dundee,Ayr United,1,0,1,W,2,0.0,0.0,-0.4555962914518275,0.6265148596713047,2.7989917227042143,-0.5482748617935691,0.0,0.0,1.201907659683923,2.534316145478852
13469, 19-20,SCO2,10/08/2019,Inverness CT,Arbroath,2,1,1,W,2,0.0,0.0,-1.3082680576091534,2.1965458649135794,-1.2022939852407004,-2.600523765117302,0.0,0.0,1.201907659683923,2.534316145478852
13470, 19-20,SCO2,10/08/2019,Greenock Morton,Alloa Athletic,4,1,3,W,2,0.0,0.0,-0.4555962914518275,2.1965458649135794,-0.20197255825447177,-1.5743993134554355,0.0,0.0,1.201907659683923,2.534316145478852
13471, 19-20,SCO2,10/08/2019,Queen of the South,Dunfermline Athletic,1,1,0,D,2,0.0,0.0,-2.1609398237664794,-0.9435161455709696,0.7983488687317568,-0.5482748617935691,0.0,0.0,1.201907659683923,2.534316145478852
13472, 19-20,SCO2,23/08/2019,Greenock Morton,Partick Thistle,3,2,1,W,3,2.7989917227042143,-1.5743993134554355,-0.4555962914518275,2.1965458649135794,-0.20197255825447177,-0.5482748617935691,-1.3082680576091534,-0.1585006429498324,1.3249423924964772,2.20622579566163
13473, 19-20,SCO2,24/08/2019,Alloa Athletic,Arbroath,0,1,-1,L,3,-0.20197255825447177,-1.5743993134554355,-1.3082680576091534,2.1965458649135794,-1.2022939852407004,-2.600523765117302,-1.3082680576091534,0.6265148596713047,1.2211517913059018,2.20622579566163
13474, 19-20,SCO2,24/08/2019,Ayr United,Queen of the South,1,0,1,W,3,2.7989917227042143,-0.5482748617935691,-2.1609398237664794,-0.1585006429498324,-0.20197255825447177,-1.5743993134554355,-2.1609398237664794,-0.9435161455709696,1.2875370644765654,2.2257935474722013
13475, 19-20,SCO2,24/08/2019,FC Dundee,Inverness CT,0,0,0,D,3,-0.20197255825447177,-2.600523765117302,-0.4555962914518275,0.6265148596713047,0.7983488687317568,-1.5743993134554355,-1.3082680576091534,2.1965458649135794,1.2941144107146245,2.0912887227495665
13476, 19-20,SCO2,24/08/2019,Dunfermline Athletic,Dundee United,0,2,-2,L,3,0.7983488687317568,-0.5482748617935691,-1.3082680576091534,-0.1585006429498324,2.7989917227042143,-1.5743993134554355,-0.4555962914518275,-0.1585006429498324,1.2309907720218285,2.4196149929208035
13477, 19-20,SCO2,30/08/2019,Inverness CT,Greenock Morton,5,0,5,W,4,0.7983488687317568,-1.5743993134554355,-3.0914509063809246,1.1806459903371818,4.474587738926276,-1.7860126449472575,-0.4555962914518275,2.1965458649135794,1.3420553321592859,2.30272395294482
13478, 19-20,SCO2,30/08/2019,Dundee United,FC Dundee,6,2,4,W,4,2.7989917227042143,-1.5743993134554355,-0.8133901485717028,-1.1248474825705297,-1.4965029322639674,-4.746446259015346,-0.4555962914518275,0.6265148596713047,1.363035433331107,2.30272395294482
13479, 19-20,SCO2,31/08/2019,Arbroath,Dunfermline Athletic,1,0,1,W,4,-1.2022939852407004,-2.600523765117302,-2.336782737180481,-0.33210822755739977,-0.4330375769439978,-0.9788520663135265,-1.3082680576091534,-0.1585006429498324,1.1416317196742385,2.0912887227495665
13480, 19-20,SCO2,31/08/2019,Partick Thistle,Ayr United,2,3,-1,L,4,-0.20197255825447177,-0.5482748617935691,-1.484110971023155,1.1564455467239052,2.511362236055585,-2.832216045206002,-2.1609398237664794,-0.1585006429498324,1.185731242426315,2.2257935474722013
13481, 19-20,SCO2,31/08/2019,Queen of the South,Alloa Athletic,0,1,-1,L,4,-0.20197255825447177,-1.5743993134554355,-4.058811138991181,-1.1692371987632468,-1.4235168607003807,-2.812137096609124,-1.3082680576091534,2.1965458649135794,1.2941144107146245,2.20622579566163
13482, 19-20,SCO2,13/09/2019,Arbroath,Partick Thistle,1,1,0,D,5,-1.343971229171748,-4.746446259015346,-2.336782737180481,-0.33210822755739977,0.6125579272719404,0.24615730977959716,-1.484110971023155,1.1564455467239052,1.1934735745321086,1.838367351304664
13483, 19-20,SCO2,14/09/2019,Ayr United,Dundee United,2,0,2,W,5,2.511362236055585,-2.832216045206002,-1.5007958405192035,0.48071295504556294,7.437446734919021,-1.8850317636758513,-0.8133901485717028,-1.1248474825705297,1.2655233316956547,2.120620188829588
13484, 19-20,SCO2,14/09/2019,FC Dundee,Alloa Athletic,2,1,1,W,5,-1.4965029322639674,-4.746446259015346,-0.7137204590674142,4.266603929611289,-1.4235168607003807,-2.812137096609124,-2.336782737180481,1.1806459903371818,1.1877252584676303,1.7487125601121432
13485, 19-20,SCO2,14/09/2019,Dunfermline Athletic,Inverness CT,0,1,-1,L,5,-0.4330375769439978,-0.9788520663135265,-3.0914509063809246,-0.26968373855700073,4.457469298702846,-3.937280666999584,-3.0914509063809246,1.1806459903371818,1.235935162688397,2.073345179291608
13486, 19-20,SCO2,14/09/2019,Queen of the South,Greenock Morton,1,0,1,W,5,-1.4965029322639674,-2.812137096609124,-4.058811138991181,-1.1692371987632468,4.474587738926276,-1.7860126449472575,-2.419063991382066,5.068089136898866,1.3701990685057883,1.9458069097358783
13487, 19-20,SCO2,21/09/2019,Alloa Athletic,Ayr United,1,4,-3,L,6,-1.4235168607003807,-2.812137096609124,-2.975188798155475,1.8182942548276693,3.2460749849818784,-5.008236273651846,-1.5007958405192035,0.48071295504556294,1.1599173336185982,2.046474952251301
13488, 19-20,SCO2,21/09/2019,Dundee United,Arbroath,2,1,1,W,6,7.437446734919021,-1.8850317636758513,-2.62158311032991,-0.5482719116380957,-1.5375069913318333,-5.606715497664055,-2.336782737180481,-0.33210822755739977,1.5504239905061585,2.0565535946227755
13489, 19-20,SCO2,21/09/2019,Inverness CT,Queen of the South,2,0,2,W,6,4.457469298702846,-3.937280666999584,-4.006662036103951,0.21041772739221287,-1.86682099274065,-4.808777144901724,-4.058811138991181,-1.1692371987632468,1.356324978031589,1.6550339016005684
13490, 19-20,SCO2,21/09/2019,Greenock Morton,FC Dundee,1,0,1,W,6,4.474587738926276,-1.7860126449472575,-4.078198605707686,4.777477129065918,-0.6839671037094374,-5.514718524212771,-0.7137204590674142,4.266603929611289,1.6381284262105489,2.249471029604313
13491, 19-20,SCO2,21/09/2019,Partick Thistle,Dunfermline Athletic,0,3,-3,L,6,0.6125579272719404,0.24615730977959716,-2.1989631411487425,1.004565791368674,-1.6693700025469116,-2.0802377998580353,-3.0914509063809246,-0.26968373855700073,1.2174337018637538,2.2104390521185078
13492, 19-20,SCO2,27/09/2019,Queen of the South,FC Dundee,1,1,0,D,7,-1.86682099274065,-4.808777144901724,-5.470011818919187,-0.6639423278680431,-0.6839671037094374,-5.514718524212771,-2.6317808947998618,3.7656632223727797,1.2895853463417188,1.711746785625185
13493, 19-20,SCO2,28/09/2019,Arbroath,Ayr United,0,3,-3,L,7,-1.5375069913318333,-5.606715497664055,-3.237676156747354,0.020815909501813334,3.2460749849818784,-5.008236273651846,0.16491981217725415,0.355175369017127,1.1494139242363037,1.9229705389422216
13494, 19-20,SCO2,28/09/2019,Dundee United,Greenock Morton,6,0,6,W,7,7.887167250274675,-2.9691872416095206,-2.62158311032991,-0.5482719116380957,3.8362542010188636,-4.094249871729237,-4.078198605707686,4.777477129065918,1.8581844551968514,1.7524409074382805
13495, 19-20,SCO2,28/09/2019,Dunfermline Athletic,Alloa Athletic,1,1,0,D,7,-1.6693700025469116,-2.0802377998580353,-2.4182145784619604,-1.225388067933487,-1.5834855960655696,-0.8075772781802688,-2.975188798155475,1.8182942548276693,1.2086345846646487,1.9649424139598433
13496, 19-20,SCO2,28/09/2019,Inverness CT,Partick Thistle,1,3,-2,L,7,5.101351215193679,-5.635551421761266,-4.006662036103951,0.21041772739221287,-0.6052670906375366,1.0563451044781167,-2.1989631411487425,1.004565791368674,1.498134724133449,1.671431467390824
13497, 19-20,SCO2,04/10/2019,Alloa Athletic,Dundee United,1,0,1,W,8,-1.5834855960655696,-0.8075772781802688,-3.7979679505067283,1.654512871482998,12.030314086365905,-4.76740970682445,-2.62158311032991,-0.5482719116380957,1.1084400537036916,2.1448233634098712
13498, 19-20,SCO2,05/10/2019,Ayr United,Inverness CT,0,2,-2,L,8,3.2460749849818784,-5.008236273651846,1.083272424940863,-0.5471323804369687,4.603056377117116,-4.272274764742465,-4.006662036103951,0.21041772739221287,1.3645530117391498,1.5535678198241196
13499, 19-20,SCO2,05/10/2019,FC Dundee,Arbroath,2,0,2,W,8,-0.6839671037094374,-5.514718524212771,-3.238667283555688,3.538334236162619,-2.6872903682217335,-4.501549232512467,-3.237676156747354,0.020815909501813334,1.1722647651863622,1.579385352391279
13500, 19-20,SCO2,05/10/2019,Greenock Morton,Dunfermline Athletic,1,1,0,D,8,3.8362542010188636,-4.094249871729237,-5.572455489339432,8.0288665407336,-1.878071647997332,-3.070388805267857,-2.4182145784619604,-1.225388067933487,1.323518241957173,1.8085087059235634
13501, 19-20,SCO2,05/10/2019,Partick Thistle,Queen of the South,0,1,-1,L,8,-0.6052670906375366,1.0563451044781167,-1.0661302639878296,0.613522310530013,-2.1564994196274996,-5.539117925023462,-5.470011818919187,-0.6639423278680431,1.1456208182616754,2.0353504810872587
13502, 19-20,SCO2,19/10/2019,Arbroath,Greenock Morton,1,0,1,W,9,-2.6872903682217335,-4.501549232512467,-4.584373454613837,0.6706009008962662,3.5126319715681884,-4.923880424258899,-5.572455489339432,8.0288665407336,1.4588339949092242,1.4518162737829605
13503, 19-20,SCO2,19/10/2019,FC Dundee,Partick Thistle,1,3,-2,L,9,0.14403418754612174,-7.135364452898056,-3.238667283555688,3.538334236162619,-1.7512561423461865,-0.006053340205396163,-1.0661302639878296,0.613522310530013,1.2363922853207159,1.6343067687538204
