index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
15226, 19-20,SPA1,16/08/2019,Athletic Bilbao,FC Barcelona,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466340615597424,0.8346292968998694
15227, 19-20,SPA1,17/08/2019,Celta de Vigo,Real Madrid,1,3,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466340615597424,0.8346292968998694
15228, 19-20,SPA1,17/08/2019,Valencia,Real Sociedad,1,1,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466340615597424,0.8346292968998694
15229, 19-20,SPA1,17/08/2019,Mallorca,Eibar,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466340615597424,0.8346292968998694
15230, 19-20,SPA1,17/08/2019,Leganes,Osasuna,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466340615597424,0.8346292968998694
15231, 19-20,SPA1,17/08/2019,Villarreal,Granada,4,4,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466340615597424,0.8346292968998694
15232, 19-20,SPA1,18/08/2019,Alaves,Levante,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466340615597424,0.8346292968998694
15233, 19-20,SPA1,18/08/2019,Espanyol Barcelona,Sevilla FC,0,2,-2,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466340615597424,0.8346292968998694
15234, 19-20,SPA1,18/08/2019,Real Betis,Valladolid,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466340615597424,0.8346292968998694
15235, 19-20,SPA1,18/08/2019,Athletico Madrid,Getafe,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7466340615597424,0.8346292968998694
15236, 19-20,SPA1,23/08/2019,Granada,Sevilla FC,0,1,-1,L,2,0.0,0.0,1.4901334455867021,1.424558990666146,0.0,0.0,0.5486112130549603,-1.1042073607986358,1.6644103099788643,0.8691403143977292
15237, 19-20,SPA1,23/08/2019,Levante,Villarreal,2,1,1,W,2,0.0,0.0,-0.39291101947678153,-0.4720157729324403,1.6557126030977682,1.9117220990572152,0.0,0.0,1.7466340615597424,0.8346292968998694
15238, 19-20,SPA1,24/08/2019,Osasuna,Eibar,0,0,0,D,2,0.0,0.0,0.07785009678908938,-1.1042073607986358,0.0,0.0,0.07785009678908938,0.16017581493375516,1.758717449055056,0.8394589888241375
15239, 19-20,SPA1,24/08/2019,Real Madrid,Valladolid,1,1,0,D,2,0.0,0.0,1.0193723293208312,-0.4720157729324403,0.0,0.0,0.5486112130549603,-0.4720157729324403,1.7112522750293213,0.8691403143977292
15240, 19-20,SPA1,24/08/2019,Celta de Vigo,Valencia,1,0,1,W,2,-0.5486065998149531,1.3077732164871911,0.0,0.0,-0.5486065998149531,0.09987545134714308,0.0,0.0,1.705543556428604,0.9187409224462788
15241, 19-20,SPA1,24/08/2019,Getafe,Athletic Bilbao,1,1,0,D,2,0.0,0.0,-0.39291101947678153,-0.4720157729324403,-0.5486065998149531,-0.5040734312228811,0.0,0.0,1.7466340615597424,0.8346292968998694
15242, 19-20,SPA1,25/08/2019,Alaves,Espanyol Barcelona,0,0,0,D,2,-0.5486065998149531,-0.5040734312228811,0.0,0.0,-1.2833796674525269,0.7038243339171671,0.0,0.0,1.705543556428604,0.8038939856739147
15243, 19-20,SPA1,25/08/2019,Mallorca,Real Sociedad,0,1,-1,L,2,0.18616646782262072,0.09987545134714308,0.0,0.0,0.0,0.0,0.07785009678908938,-0.4720157729324403,1.7251662891594937,0.8456877335343363
