index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
37788, 19-20,TUN1,24/08/2019,Club Africain,Stade Tunisien,3,0,3,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9148609694007804,0.5368111578802965
37789, 19-20,TUN1,24/08/2019,JS Kairouan,Soliman,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9148609694007804,0.5368111578802965
37790, 19-20,TUN1,24/08/2019,US Tataouine,Esperance Tunis,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9148609694007804,0.5368111578802965
37791, 19-20,TUN1,25/08/2019,US Monastir,Club Sportif Sfaxien,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9148609694007804,0.5368111578802965
37792, 19-20,TUN1,28/08/2019,CS Hammam-Lif,Club Africain,0,1,-1,L,2,0.0,0.0,0.0,0.0,2.3618768527901195,-0.35448274023786225,0.0,0.0,0.9148609694007804,0.5368111578802965
37793, 19-20,TUN1,28/08/2019,Soliman,US Tataouine,1,1,0,D,2,0.0,0.0,1.7857524343126123,0.0889867808993944,-1.0362805143635307,0.30586631367824196,0.0,0.0,0.9148609694007804,0.5368111578802965
37794, 19-20,TUN1,28/08/2019,Stade Tunisien,Chebba,0,0,0,D,2,0.0,0.0,-0.6551525027775517,2.179374239462027,0.0,0.0,0.0,0.0,0.9148609694007804,0.5368111578802965
37795, 19-20,TUN1,28/08/2019,Club Sportif Sfaxien,ES Metlaoui,1,0,1,W,1,0.0,0.0,0.5652999657675303,1.1341805101807105,0.0,0.0,0.0,0.0,0.9148609694007804,0.5368111578802965
37796, 19-20,TUN1,29/08/2019,US Ben Guerdane,JS Kairouan,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.09643860802101935,0.9662153675943461,0.0,0.0,0.9148609694007804,0.5368111578802965
37797, 19-20,TUN1,01/09/2019,ES Sahel,US Monastir,0,0,0,D,2,0.0,0.0,0.0,0.0,1.2291577304055692,0.30586631367824196,0.0,0.0,0.9148609694007804,0.5368111578802965
37798, 19-20,TUN1,02/09/2019,ES Metlaoui,US Ben Guerdane,0,1,-1,L,2,0.0,0.0,-0.6551525027775517,0.0889867808993944,-1.0362805143635307,0.30586631367824196,0.0,0.0,0.9148609694007804,0.5368111578802965
37799, 19-20,TUN1,07/09/2019,CA Bizertin,CS Hammam-Lif,1,1,0,D,2,0.0,0.0,0.0,0.0,-1.0362805143635307,0.30586631367824196,0.0,0.0,0.9148609694007804,0.5368111578802965
37800, 19-20,TUN1,24/09/2019,CA Bizertin,Soliman,2,1,1,W,3,0.09643860802101935,0.30586631367824196,0.0,0.0,0.09643860802101935,0.30586631367824196,1.7857524343126123,0.0889867808993944,0.9224400496255557,0.6081626893526978
37801, 19-20,TUN1,24/09/2019,Chebba,Club Africain,0,2,-2,L,3,0.0,0.0,-0.6551525027775517,-0.9562069483819219,2.3618768527901195,-0.35448274023786225,0.5652999657675303,-0.9562069483819219,0.8765436835334809,0.555334986517028
37802, 19-20,TUN1,24/09/2019,JS Kairouan,Club Sportif Sfaxien,2,3,-1,L,3,0.09643860802101935,0.9662153675943461,0.5652999657675303,-0.9562069483819219,0.09643860802101935,-0.35448274023786225,0.5652999657675303,1.1341805101807105,0.9660703856632853,0.5882915928935162
37803, 19-20,TUN1,24/09/2019,US Tataouine,US Ben Guerdane,0,1,-1,L,3,-1.0362805143635307,0.30586631367824196,0.5652999657675303,0.0889867808993944,-1.0362805143635307,0.30586631367824196,0.5652999657675303,-0.9562069483819219,0.8364569101175887,0.5655891439502851
37804, 19-20,TUN1,24/09/2019,Esperance Tunis,CS Hammam-Lif,2,0,2,W,2,0.0,0.0,0.5652999657675303,-0.9562069483819219,-1.0362805143635307,0.30586631367824196,0.5652999657675303,0.0889867808993944,0.9184921694234424,0.555334986517028
37805, 19-20,TUN1,25/09/2019,US Monastir,Stade Tunisien,1,0,1,W,3,1.2291577304055692,0.30586631367824196,-0.6551525027775517,-0.9562069483819219,-1.0362805143635307,-0.35448274023786225,-0.6551525027775517,2.179374239462027,1.0619786875630524,0.5256391991665131
37806, 19-20,TUN1,29/09/2019,CS Hammam-Lif,Chebba,1,2,-1,L,3,-1.0362805143635307,0.30586631367824196,-0.11245998939662627,1.2193719835866526,-0.9928777919437652,0.9539831748791766,-0.6551525027775517,-0.9562069483819219,0.8364569101175887,0.5256391991665131
37807, 19-20,TUN1,29/09/2019,Stade Tunisien,ES Metlaoui,1,0,1,W,4,-1.0362805143635307,-0.35448274023786225,-1.2966701609643825,2.1145945038720386,-1.0362805143635307,0.30586631367824196,-0.6551525027775517,0.0889867808993944,0.8768949470797298,0.5050777335730996
37808, 19-20,TUN1,29/09/2019,Club Africain,US Monastir,0,1,-1,L,4,2.3618768527901195,-0.35448274023786225,2.3284449476935376,-1.8723649098522626,1.1589532858226024,-0.04123903419258368,-0.6551525027775517,-0.9562069483819219,0.9735291390358856,0.5050777335730996
37809, 19-20,TUN1,02/10/2019,US Ben Guerdane,CA Bizertin,2,0,2,W,4,-1.0362805143635307,0.30586631367824196,1.0954777673961869,-1.8304664656508511,1.3170113693258994,0.5646157110532186,0.0,0.0,0.87339300829644,0.5467653525671469
37810, 19-20,TUN1,02/10/2019,ES Sahel,JS Kairouan,2,0,2,W,4,-1.0362805143635307,-0.35448274023786225,0.0,0.0,1.2675904533798992,2.5587847325486273,0.5652999657675303,-0.9562069483819219,0.8364569101175887,0.5436548315987423
37811, 19-20,TUN1,02/10/2019,Club Sportif Sfaxien,US Tataouine,1,0,1,W,4,0.09643860802101935,-0.35448274023786225,3.5086754446315656,2.2148372596036943,-1.9837512515044184,0.592729111481556,0.5652999657675303,0.0889867808993944,0.9224400496255557,0.5436548315987423
37812, 19-20,TUN1,23/10/2019,CA Bizertin,Club Sportif Sfaxien,1,2,-1,L,5,1.3170113693258994,0.5646157110532186,-0.6673011242554965,1.1775225630930488,0.18429224694134916,-0.7134846939410107,3.5086754446315656,2.2148372596036943,1.0676118154373704,0.6831565542930217
37813, 19-20,TUN1,23/10/2019,Soliman,CS Hammam-Lif,1,2,-1,L,4,0.09643860802101935,0.30586631367824196,2.2639712473601783,1.2152456839554502,-0.8510321291198683,1.2794590736396247,-0.11245998939662627,1.2193719835866526,0.9696948748592652,0.5430867390133044
37814, 19-20,TUN1,23/10/2019,JS Kairouan,Stade Tunisien,0,1,-1,L,5,1.2675904533798992,2.5587847325486273,-0.09820491549361554,0.2599209929117813,-0.8968370668585787,-0.6880103437569487,-1.2966701609643825,2.1145945038720386,1.0607779694619608,0.5789358506525174
37815, 19-20,TUN1,23/10/2019,US Monastir,Chebba,2,0,2,W,5,1.1589532858226024,-0.04123903419258368,-0.051123400978914324,-1.9737334997748683,-0.9928777919437652,0.9539831748791766,1.1442347761257814,-0.7852727363695349,0.930184403227392,0.5734709186486762
37816, 19-20,TUN1,24/10/2019,Esperance Tunis,US Ben Guerdane,4,1,3,W,5,1.225044600702697,-0.36671493295303187,0.5652999657675303,-0.9562069483819219,0.23984876855122383,-0.05518966960357863,1.0954777673961869,-1.8304664656508511,0.8904516188059116,0.5607946769650877
