index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
39400, 19-20,VEN1,26/01/2019,Deportivo La Guaira,Monagas,2,3,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2842435935733432,0.7092499287210225
39401, 19-20,VEN1,26/01/2019,Lala,Mineros de Guayana,0,5,-5,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2842435935733432,0.7092499287210225
39402, 19-20,VEN1,26/01/2019,Aragua FC,Cabello,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2842435935733432,0.7092499287210225
39403, 19-20,VEN1,26/01/2019,Portuguesa FC,Deportivo Anzoategui,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2842435935733432,0.7092499287210225
39404, 19-20,VEN1,27/01/2019,Metropolitanos FC,Estudiantes de Caracas,1,2,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2842435935733432,0.7092499287210225
39405, 19-20,VEN1,27/01/2019,Deportivo Tachira,Trujillanos FC,2,1,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2842435935733432,0.7092499287210225
39406, 19-20,VEN1,27/01/2019,Deportivo Lara,Caracas FC,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2842435935733432,0.7092499287210225
39407, 19-20,VEN1,27/01/2019,Zamora FC,Zulia FC,4,1,3,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2842435935733432,0.7092499287210225
39408, 19-20,VEN1,28/01/2019,Llaneros de Guanare,Estudiantes de Merida,0,0,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2842435935733432,0.7092499287210225
39409, 19-20,VEN1,01/02/2019,Caracas FC,Zamora FC,3,0,3,W,2,0.0,0.0,0.30800602947238603,-1.4128380059787555,1.641717326487987,0.2283175971479609,0.0,0.0,1.2842435935733432,0.7092499287210225
