index,Sea,Lge,Date,HT,AT,HS,AS,GD,WDL,Round,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
33899, 19-20,ZAF1,03/08/2019,Mamelodi Sundowns,SuperSport United,2,0,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1726874467797221,0.9649953986155411
33900, 19-20,ZAF1,03/08/2019,Baroka FC,Cape Town City FC,2,2,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1726874467797221,0.9649953986155411
33901, 19-20,ZAF1,03/08/2019,Chippa United,Stellenbosch,0,0,0,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1726874467797221,0.9649953986155411
33902, 19-20,ZAF1,03/08/2019,Orlando Pirates,Bloemfontein Celtic,3,1,2,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1726874467797221,0.9649953986155411
33903, 19-20,ZAF1,03/08/2019,AmaZulu,BidVest Wits,0,3,-3,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1726874467797221,0.9649953986155411
33904, 19-20,ZAF1,04/08/2019,Highlands Park,Kaizer Chiefs,2,3,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1726874467797221,0.9649953986155411
33905, 19-20,ZAF1,04/08/2019,Black Leopards,Polokwane City,0,1,-1,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1726874467797221,0.9649953986155411
33906, 19-20,ZAF1,04/08/2019,Golden Arrows,Maritzburg United,1,0,1,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1726874467797221,0.9649953986155411
33907, 19-20,ZAF1,06/08/2019,BidVest Wits,Baroka FC,0,1,-1,L,2,0.0,0.0,1.738970805725267,-0.5040246547545502,0.8200025453941995,0.9564823673034466,0.0,0.0,1.1726874467797221,0.9649953986155411
33908, 19-20,ZAF1,09/08/2019,Maritzburg United,Highlands Park,1,1,0,D,2,0.0,0.0,-0.824616723082589,-0.07422159330059203,0.8200025453941995,1.880615811757724,0.0,0.0,1.1726874467797221,0.9649953986155411
33909, 19-20,ZAF1,10/08/2019,Polokwane City,AmaZulu,1,0,1,W,2,0.0,0.0,0.02991245318669638,-0.5040246547545502,-1.1623257589506955,1.880615811757724,0.0,0.0,1.1726874467797221,0.9649953986155411
33910, 19-20,ZAF1,10/08/2019,Cape Town City FC,Stellenbosch,1,0,1,W,2,0.0,0.0,0.8844416294559817,0.35558146815336605,0.0,0.0,-0.824616723082589,-0.5040246547545502,1.1424187708369016,0.9524446631980168
33911, 19-20,ZAF1,10/08/2019,Kaizer Chiefs,Black Leopards,1,0,1,W,2,0.0,0.0,1.738970805725267,0.35558146815336605,-1.1623257589506955,0.03234892284916901,0.0,0.0,1.1726874467797221,0.9649953986155411
33912, 19-20,ZAF1,11/08/2019,Bloemfontein Celtic,Golden Arrows,5,0,5,W,2,0.0,0.0,0.02991245318669638,0.7853845296073241,-0.17116160677824793,-0.8917845216051086,0.0,0.0,1.1726874467797221,0.9649953986155411
33913, 19-20,ZAF1,14/08/2019,SuperSport United,Orlando Pirates,3,0,3,W,2,0.0,0.0,-0.824616723082589,0.35558146815336605,1.811166697566647,0.03234892284916901,0.0,0.0,1.1726874467797221,0.9649953986155411
33914, 19-20,ZAF1,14/08/2019,Chippa United,Mamelodi Sundowns,1,1,0,D,2,-1.1623257589506955,-0.8917845216051086,0.0,0.0,0.8200025453941995,-0.8917845216051086,0.0,0.0,1.1037199755566391,0.9514278816097635
33915, 19-20,ZAF1,14/08/2019,Polokwane City,BidVest Wits,0,1,-1,L,3,-0.17116160677824793,-0.8917845216051086,0.02991245318669638,-0.5040246547545502,-1.1623257589506955,0.03234892284916901,1.738970805725267,-0.5040246547545502,1.1322657831062002,0.9780202810037274
33916, 19-20,ZAF1,20/08/2019,AmaZulu,Orlando Pirates,0,0,0,D,3,-1.1623257589506955,1.880615811757724,-0.824616723082589,-0.07422159330059203,1.811166697566647,0.03234892284916901,-0.824616723082589,0.7853845296073241,1.1499984690408893,0.9812509924637752
33917, 19-20,ZAF1,20/08/2019,Mamelodi Sundowns,Cape Town City FC,1,1,0,D,3,0.8200025453941995,-0.8917845216051086,0.041506292317662966,-0.044579163028173205,-0.14116038024999963,-0.8801859672532776,0.8844416294559817,0.35558146815336605,1.2454247658170814,0.9648830859917632
33918, 19-20,ZAF1,24/08/2019,Black Leopards,Highlands Park,1,1,0,D,3,-1.1623257589506955,0.03234892284916901,-0.824616723082589,-0.07422159330059203,0.8200025453941995,1.880615811757724,0.02991245318669638,-0.07422159330059203,1.099416260366591,0.9659481122842843
33919, 19-20,ZAF1,24/08/2019,Golden Arrows,Chippa United,2,1,1,W,3,-0.17116160677824793,-0.8917845216051086,-0.824616723082589,1.6449906525152402,-1.2651292805866388,-0.8468974025326984,0.0,0.0,1.1623465085566342,0.9514278816097635
33920, 19-20,ZAF1,24/08/2019,Kaizer Chiefs,SuperSport United,1,1,0,D,3,-0.17116160677824793,-0.8917845216051086,1.738970805725267,0.35558146815336605,1.811166697566647,-0.8917845216051086,-0.824616723082589,0.35558146815336605,1.1839006177390465,0.9390125404078098
33921, 19-20,ZAF1,25/08/2019,Baroka FC,Bloemfontein Celtic,0,0,0,D,3,0.8200025453941995,0.9564823673034466,0.02991245318669638,-0.5040246547545502,3.7934950019115417,-0.8917845216051086,0.02991245318669638,0.7853845296073241,1.2727587586423539,0.9801731932565743
33922, 19-20,ZAF1,25/08/2019,Stellenbosch,Maritzburg United,0,0,0,D,3,0.0,0.0,-1.6385084765672673,-0.5652366784687601,-0.17116160677824793,0.03234892284916901,-0.824616723082589,-0.07422159330059203,1.168195437541441,0.9524446631980168
33923, 19-20,ZAF1,27/08/2019,Cape Town City FC,Kaizer Chiefs,1,2,-1,L,4,-0.14116038024999963,-0.8801859672532776,0.9144500570565596,0.25009715244856373,-0.3534373066435593,-0.8354239705036618,1.738970805725267,0.35558146815336605,1.185731741796654,0.9781995202429324
33924, 19-20,ZAF1,27/08/2019,Highlands Park,AmaZulu,2,1,1,W,4,0.8200025453941995,1.880615811757724,0.059010784746821074,-0.1169510063644566,-2.302163016517221,0.9738089522179971,-0.824616723082589,-0.07422159330059203,1.2184858946775328,0.9812509924637752
33925, 19-20,ZAF1,28/08/2019,Orlando Pirates,Golden Arrows,0,0,0,D,4,1.811166697566647,0.03234892284916901,-1.6631243253860777,0.291111666946185,0.6590905058825061,-0.8468974025326984,-0.824616723082589,1.6449906525152402,1.3948948101270204,0.9529346553803939
33926, 19-20,ZAF1,28/08/2019,BidVest Wits,Stellenbosch,2,1,1,W,4,-1.1623257589506955,0.03234892284916901,1.7577531168937823,-0.9906759547131583,-1.1578734404224835,-0.8801859672532776,-1.6385084765672673,-0.5652366784687601,1.0712489459113996,0.940665087342567
33927, 19-20,ZAF1,28/08/2019,Bloemfontein Celtic,Mamelodi Sundowns,1,2,-1,L,4,3.7934950019115417,-0.8917845216051086,-0.8076741382480791,0.238348918650501,0.5767463154609905,-0.8593318069040721,0.041506292317662966,-0.044579163028173205,1.414859769025579,0.9520561029997415
33928, 19-20,ZAF1,28/08/2019,Chippa United,Polokwane City,0,0,0,D,4,-1.2651292805866388,-0.8468974025326984,0.041506292317662966,0.3600260350599555,-1.293422861724577,-0.871472328180946,0.02991245318669638,-0.5040246547545502,1.0688873083204304,0.9525602450263154
33929, 19-20,ZAF1,28/08/2019,Baroka FC,SuperSport United,0,2,-2,L,4,-0.44151031053560597,0.050671538057500354,0.02991245318669638,-0.5040246547545502,1.811166697566647,-0.8917845216051086,-0.7725011594745184,0.2765404196458498,1.1627194780764996,0.9540022557565114
33930, 19-20,ZAF1,28/08/2019,Maritzburg United,Black Leopards,0,1,-1,L,4,-0.17116160677824793,0.03234892284916901,-1.6385084765672673,-0.5763155687324495,-1.2608635923691027,0.06381741113406361,-0.824616723082589,-0.07422159330059203,1.157882126907226,0.9529346553803939
33931, 19-20,ZAF1,14/09/2019,Golden Arrows,AmaZulu,1,1,0,D,5,0.6590905058825061,-0.8468974025326984,-1.6389271891832524,1.0454605927164091,-2.302163016517221,0.9738089522179971,-0.8085951491167923,0.26167556173645545,1.2294056180489716,0.9399252989066118
33932, 19-20,ZAF1,14/09/2019,Orlando Pirates,Chippa United,2,1,1,W,5,0.4285969657173516,-0.8482898625673644,-1.6631243253860777,0.291111666946185,-2.324572063305948,-1.7271901828190779,0.041506292317662966,0.3600260350599555,1.221153309814481,0.9527147598108022
33933, 19-20,ZAF1,14/09/2019,Kaizer Chiefs,Polokwane City,0,1,-1,L,5,-0.3534373066435593,-0.8354239705036618,2.6121291280036347,0.2757533969199881,-1.293422861724577,-0.871472328180946,-0.7840780683425096,-0.963435692219952,1.0947721974818971,0.9404649618023048
