Div,Date,HT,AT,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,HFKC,AFKC,HT_H_Off_Rating,HT_H_Def_Rating,HT_A_Off_Rating,HT_A_Def_Rating,AT_H_Off_Rating,AT_H_Def_Rating,AT_A_Off_Rating,AT_A_Def_Rating,HT_EG,AT_EG
E2,2016-08-06,Bolton,Sheffield United,1,0,H,1.0,0.0,H,8.0,4.0,3.0,0.0,10.0,7.0,2.0,4.0,2.0,1.0,0.0,0.0,2.9,3.3,2.63,2.6,3.1,2.55,2.7,3.05,2.45,2.88,3.1,2.5,2.94,3.26,2.64,2.9,3.0,2.62,2.88,3.3,2.55,54.0,2.94,2.8,3.3,3.14,2.64,2.53,37.0,2.2,2.1,1.78,1.68,28,0.0,2.08,2.0,1.87,1.81,3.2,3.35,2.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474706724808972,0.8192589588446015
E2,2016-08-06,Walsall,AFC Wimbledon,3,1,H,2.0,0.0,H,9.0,10.0,4.0,2.0,13.0,9.0,3.0,2.0,2.0,2.0,0.0,0.0,2.15,3.5,3.6,2.0,3.3,3.4,2.0,3.2,3.35,2.1,3.3,3.6,2.13,3.44,3.76,2.2,3.3,3.3,2.15,3.5,3.5,54.0,2.2,2.1,3.5,3.28,3.76,3.47,40.0,2.2,2.12,1.74,1.67,29,-0.25,1.89,1.81,2.09,2.01,2.23,3.42,3.51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474706724808972,0.8192589588446015
E2,2016-08-06,Swindon,Coventry,1,0,H,0.0,0.0,D,14.0,10.0,3.0,3.0,10.0,14.0,2.0,8.0,1.0,2.0,0.0,0.0,2.9,3.4,2.6,2.8,3.2,2.3,2.7,3.15,2.35,2.8,3.25,2.5,2.97,3.36,2.55,2.9,3.0,2.62,2.9,3.4,2.5,54.0,2.97,2.83,3.4,3.22,2.62,2.46,43.0,2.13,2.02,1.82,1.74,28,0.0,2.11,2.03,1.84,1.78,2.91,3.31,2.63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474706724808972,0.8192589588446015
E2,2016-08-06,Southend,Gillingham,1,3,A,1.0,1.0,D,10.0,18.0,4.0,4.0,9.0,11.0,4.0,3.0,0.0,2.0,0.0,0.0,2.5,3.4,3.0,2.35,3.2,2.8,2.35,3.05,2.85,2.4,3.25,2.9,2.51,3.41,3.0,2.4,3.1,3.1,2.5,3.4,2.9,54.0,2.51,2.39,3.41,3.21,3.25,2.96,38.0,2.2,2.1,1.78,1.68,29,-0.25,2.16,2.08,1.8,1.76,2.79,3.37,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474706724808972,0.8192589588446015
E2,2016-08-06,Shrewsbury,Milton Keynes Dons,0,1,A,0.0,0.0,D,11.0,12.0,3.0,4.0,13.0,10.0,2.0,8.0,2.0,2.0,0.0,0.0,2.88,3.4,2.63,2.6,3.2,2.5,2.65,3.1,2.45,2.75,3.25,2.5,2.89,3.37,2.62,2.9,3.0,2.62,2.75,3.4,2.6,54.0,2.9,2.76,3.4,3.21,2.63,2.53,43.0,2.13,2.03,1.82,1.74,28,0.0,2.04,1.98,1.9,1.84,2.76,3.32,2.76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474706724808972,0.8192589588446015
E2,2016-08-06,Scunthorpe,Bristol Rvs,3,1,H,0.0,1.0,A,12.0,6.0,6.0,3.0,8.0,7.0,11.0,2.0,1.0,2.0,0.0,0.0,2.25,3.4,3.5,2.15,3.2,3.1,2.15,3.1,3.1,2.2,3.25,3.3,2.28,3.38,3.44,2.3,3.2,3.2,2.25,3.4,3.3,54.0,2.32,2.22,3.4,3.24,3.5,3.2,37.0,2.23,2.12,1.71,1.66,29,-0.25,1.99,1.91,1.98,1.91,2.16,3.42,3.71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474706724808972,0.8192589588446015
E2,2016-08-06,Bradford,Port Vale,0,0,D,0.0,0.0,D,12.0,8.0,1.0,2.0,10.0,15.0,11.0,3.0,0.0,2.0,0.0,0.0,1.73,3.75,5.5,1.62,3.6,5.0,1.65,3.4,4.8,1.7,3.6,5.25,1.73,3.75,5.52,1.73,3.5,5.0,1.73,3.75,5.25,54.0,1.73,1.69,3.75,3.56,5.52,5.06,38.0,2.19,2.1,1.74,1.68,29,-0.75,1.97,1.91,1.96,1.91,1.78,3.59,5.45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474706724808972,0.8192589588446015
E2,2016-08-06,Oxford,Chesterfield,1,1,D,1.0,0.0,H,16.0,8.0,6.0,5.0,7.0,9.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,3.5,4.2,1.87,3.3,3.75,1.85,3.25,3.8,1.91,3.4,4.0,1.93,3.65,4.31,2.0,3.2,4.0,1.95,3.6,4.0,54.0,2.05,1.92,3.65,3.4,4.31,3.93,43.0,2.11,2.02,1.82,1.75,29,-0.5,1.97,1.91,1.97,1.9,1.94,3.66,4.22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474706724808972,0.8192589588446015
E2,2016-08-06,Bury,Charlton,2,0,H,0.0,0.0,D,11.0,9.0,4.0,1.0,11.0,9.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,3.4,2.5,3.0,3.2,2.2,2.75,3.1,2.35,2.8,3.3,2.5,2.91,3.4,2.58,3.0,3.0,2.5,2.88,3.4,2.5,54.0,3.0,2.86,3.4,3.21,2.58,2.45,44.0,2.12,2.03,1.83,1.74,29,0.25,1.8,1.74,2.2,2.11,2.73,3.41,2.73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474706724808972,0.8192589588446015
E2,2016-08-06,Rochdale,Peterboro,2,3,A,2.0,2.0,D,12.0,9.0,3.0,4.0,6.0,12.0,7.0,4.0,0.0,1.0,0.0,0.0,2.6,3.4,2.9,2.55,3.3,2.45,2.4,3.15,2.7,2.5,3.2,2.88,2.58,3.3,2.98,2.7,3.1,2.7,2.5,3.4,2.9,54.0,2.7,2.5,3.4,3.23,2.98,2.78,44.0,1.91,1.84,2.03,1.91,28,0.0,1.85,1.8,2.1,2.02,2.42,3.56,3.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.474706724808972,0.8192589588446015
